code,first_name,second_name,web_name,22-23
58822,Cédric,Alves Soares,Cédric,1
80201,Bernd,Leno,Leno,2
84450,Granit,Xhaka,Xhaka,3
153256,Mohamed,Elneny,Elneny,4
156074,Rob,Holding,Holding,5
167199,Thomas,Partey,Partey,6
184029,Martin,Ødegaard,Ødegaard,7
192895,Kieran,Tierney,Tierney,8
195735,Nicolas,Pépé,Pépé,9
198869,Benjamin,White,White,10
205533,Eddie,Nketiah,Nketiah,11
209289,Emile,Smith Rowe,Smith Rowe,12
223340,Bukayo,Saka,Saka,13
223723,Takehiro,Tomiyasu,Tomiyasu,14
225321,Aaron,Ramsdale,Ramsdale,15
226597,Gabriel,dos Santos Magalhães,Gabriel,16
437626,Nuno,Varela Tavares,Tavares,17
437742,Albert,Sambi Lokonga,Sambi,18
444145,Gabriel,Martinelli Silva,Martinelli,19
92371,Pablo,Marí Villar,Pablo Marí,20
154043,Ainsley,Maitland-Niles,Maitland-Niles,21
198849,Lucas,Torreira di Pascua,Torreira,22
200641,Reiss,Nelson,Nelson,23
224068,Matt,Turner,Turner,24
438098,Fábio,Ferreira Vieira,Fábio Vieira,25
462424,William,Saliba,Saliba,26
479683,Marcus,Oliveira Alencar,Marquinhos,27
205651,Gabriel,Fernando de Jesus,Jesus,28
84583,Philippe,Coutinho Correia,Coutinho,29
84939,Danny,Ings,Ings,30
98980,Emiliano,Martínez Romero,Martínez,31
101184,Calum,Chambers,Chambers,32
101188,Lucas,Digne,Digne,33
110504,Bertrand,Traoré,Traoré,34
111782,Robin,Olsen,Olsen,35
122775,Morgan,Sanson,Sanson,36
122806,John,McGinn,McGinn,37
123354,Kortney,Hause,Hause,38
149484,Tyrone,Mings,Mings,39
178301,Ollie,Watkins,Watkins,40
184704,Marvelous,Nakamba,Nakamba,41
195546,Emiliano,Buendía Stati,Buendía,42
199796,Matty,Cash,Cash,43
199798,Ezri,Konsa Ngoyo,Konsa,44
215711,Leon,Bailey,Bailey,45
230046,Douglas Luiz,Soares de Paulo,Douglas Luiz,46
232653,Jacob,Ramsey,Ramsey,47
478912,Carney,Chukwuemeka,Chukwuemeka,48
490094,Tim,Iroegbunam,Iroegbunam,49
165659,Diego Carlos,Santos Silva,Diego Carlos,50
193488,Anwar,El Ghazi,El Ghazi,51
221239,Keinan,Davis,Davis,52
226944,Boubacar,Kamara,Kamara,53
433979,Cameron,Archer,Archer,54
481624,Jaden,Philogene-Bidace,Philogene-Bidace,55
203368,Frédéric,Guilbert,Guilbert,56
54469,Adam,Smith,Smith,57
56872,Junior,Stanislas,Stanislas,58
81012,Ryan,Fredericks,Fredericks,59
111317,David,Brooks,Brooks,60
128309,Jamal,Lowe,Lowe,61
128340,Kieffer,Moore,Moore,62
133845,Emiliano,Marcondes,Marcondes,63
152551,Jefferson,Lerma Solís,Lerma,64
154131,Jack,Stacey,Stacey,65
154566,Dominic,Solanke,Solanke,66
155408,Lewis,Cook,Cook,67
156687,Ben,Pearson,Pearson,68
158499,Ryan,Christie,Christie,69
168991,Philip,Billing,Billing,70
223911,Chris,Mepham,Mepham,71
229600,Mark,Travers,Travers,72
235530,Lloyd,Kelly,Kelly,73
244085,Siriki,Dembélé,Dembélé,74
444180,Jaidon,Anthony,Anthony,75
447932,Jordan,Zemura,Zemura,76
444172,Will,Dennis,Dennis,77
61810,Pontus,Jansson,Jansson,78
128295,Christian,Nørgaard,Nørgaard,79
144485,Ivan,Toney,Toney,80
154561,David,Raya Martin,Raya,81
174932,Sergi,Canós Tenés,Canós,82
183656,Josh,Dasilva,Dasilva,83
191866,Kristoffer,Ajer,Ajer,84
194010,Rico,Henry,Henry,85
204580,Vitaly,Janelt,Janelt,86
205836,Saman,Ghoddos,Ghoddos,87
207283,Mathias,Jensen,Jensen,88
216646,Yoane,Wissa,Wissa,89
