code,first_name,second_name,web_name,25-26
154561,David,Raya Martín,Raya,1
109745,Kepa,Arrizabalaga Revuelta,Arrizabalaga,2
463748,Karl,Hein,Hein,3
551221,Tommy,Setford,Setford,4
226597,Gabriel,dos Santos Magalhães,Gabriel,5
462424,William,Saliba,Saliba,6
466075,Riccardo,Calafiori,Calafiori,7
445122,Jurriën,Timber,J.Timber,8
440854,Jakub,Kiwior,Kiwior,9
499169,Myles,Lewis-Skelly,Lewis-Skelly,10
198869,Benjamin,White,White,11
206325,Oleksandr,Zinchenko,Zinchenko,12
563324,Brayden,Clarke,Clarke,13
588793,Maldini,Kacurri,Kacurri,14
499167,Josh,Nichols,Nichols,15
223340,Bukayo,Saka,Saka,16
184029,Martin,Ødegaard,Ødegaard,17
248857,Noni,Madueke,Madueke,18
444145,Gabriel,Martinelli Silva,Martinelli,19
116216,Leandro,Trossard,Trossard,20
204480,Declan,Rice,Rice,21
195384,Mikel,Merino Zazón,Merino,22
438098,Fábio,Ferreira Vieira,Fábio Vieira,23
128295,Christian,Nørgaard,Nørgaard,24
499175,Ethan,Nwaneri,Nwaneri,25
481655,Martín,Zubimendi Ibáñez,Zubimendi,26
200641,Reiss,Nelson,Nelson,27
588796,Ismeal,Kabia,Kabia,28
437742,Albert,Sambi Lokonga,Sambi,29
219847,Kai,Havertz,Havertz,30
205651,Gabriel,Fernando de Jesus,G.Jesus,31
98980,Emiliano,Martínez Romero,Martinez,32
72147,Marco,Bizot,M.Bizot,33
462492,Joe,Gauci,Gauci,34
462381,Filip,Marschall,Marschall,35
199796,Matty,Cash,Cash,36
101188,Lucas,Digne,Digne,37
199798,Ezri,Konsa Ngoyo,Konsa,38
441302,Ian,Maatsen,Maatsen,39
149484,Tyrone,Mings,Mings,40
244954,Pau,Torres,Pau,41
606798,Andrés,García,A.García,42
106468,Álex,Moreno Lopera,Alex Moreno,43
515597,Lamare,Bogarde,Bogarde,44
514315,Lino,da Cruz Sousa,Sousa,45
587178,Yasin,Özcan,Yasin,46
244850,Morgan,Rogers,Rogers,47
166989,Youri,Tielemans,Tielemans,48
215711,Leon,Bailey,Bailey,49
195546,Emiliano,Buendía Stati,Buendía,50
469247,Samuel,Iling-Junior,Iling Jr,51
232653,Jacob,Ramsey,J.Ramsey,52
204646,Donyell,Malen,Malen,53
122806,John,McGinn,McGinn,54
88894,Ross,Barkley,Barkley,55
491287,Enzo,Barrenechea,Barrenechea,56
461421,Lewis,Dobbin,Dobbin,57
226944,Boubacar,Kamara,Kamara,58
449871,Amadou,Onana,Onana,59
577731,Ben,Broggio,Broggio,60
151589,Leander,Dendoncker,Dendoncker,61
559962,Jamaldeen,Jimoh-Aloba,Jimoh-Aloba,62
537403,Kadan,Young,Young,63
178301,Ollie,Watkins,Watkins,64
576756,Zépiqueno,Redmond,Redmond,65
69752,Norberto,Murara Neto,Neto,66
457569,Đorđe,Petrović,Petrović,67
444172,Will,Dennis,Dennis,68
568791,Callan,McKenna,McKenna,69
495145,Alex,Paulsen,Paulsen,70
477580,Illia,Zabarnyi,Zabarnyi,71
221466,Marcos,Senesi Barón,Senesi,72
54469,Adam,Smith,Smith,73
494521,Adrien,Truffert,Truffert,74
541462,Matai,Akinmboni,Akinmboni,75
518906,Owen,Bevan,Bevan,76
463981,James,Hill,Hill,77
436893,Julián,Araujo Zúñiga,J.Araujo,78
223911,Chris,Mepham,Mepham,79
575901,Julio,Soler Barreto,Soler,80
222683,Justin,Kluivert,Kluivert,81
437730,Antoine,Semenyo,Semenyo,82
533463,Dango,Ouattara,O.Dango,83
201658,Marcus,Tavernier,Tavernier,84
200785,Tyler,Adams,Adams,85
111317,David,Brooks,Brooks,86
158499,Ryan,Christie,Christie,87
155408,Lewis,Cook,Cook,88
168991,Philip,Billing,Philip,89
503139,Alex,Scott,Scott,90
224995,Luis,Sinisterra Lucumí,Sinisterra,91
441240,Romain,Faivre,Faivre,92
424044,Hamed,Traorè,H.Traorè,93
550596,Dominic,Sadi,Sadi,94
530121,Zain,Silcott-Duberry,Silcott-Duberry,95
606775,Ben,Winterburn,Winterburn,96
444102,Francisco Evanilson,de Lima Barbosa,Evanilson,97
168636,Enes,Ünal,Enes Ünal,98
590760,Daniel,Adu-Adjei,Adu-Adjei,99
560262,Eli Junior,Kroupi,Kroupi.Jr,100
200720,Caoimhín,Kelleher,Kelleher,101
