code,first_name,second_name,web_name,21-22
80201,Bernd,Leno,Leno,1
115918,Rúnar Alex,Rúnarsson,Rúnarsson,2
47431,Willian,Borges Da Silva,Willian,3
54694,Pierre-Emerick,Aubameyang,Aubameyang,4
58822,Cédric,Soares,Cédric,5
59966,Alexandre,Lacazette,Lacazette,6
84450,Granit,Xhaka,Xhaka,7
92371,Pablo,Marí,Marí,8
98745,Héctor,Bellerín,Bellerín,9
101184,Calum,Chambers,Chambers,10
111457,Sead,Kolasinac,Kolasinac,11
153256,Mohamed Naser,El Sayed Elneny,Elneny,12
154043,Ainsley,Maitland-Niles,Maitland-Niles,13
156074,Rob,Holding,Holding,14
167199,Thomas,Partey,Partey,15
192895,Kieran,Tierney,Tierney,16
195735,Nicolas,Pépé,Pépé,17
198849,Lucas,Torreira,Torreira,18
200089,Joseph,Willock,Willock,19
205533,Edward,Nketiah,Nketiah,20
209289,Emile,Smith Rowe,Smith Rowe,21
223340,Bukayo,Saka,Saka,22
226597,Gabriel,Magalhães,Gabriel,23
233963,Konstantinos,Mavropanos,Mavropanos,24
242166,Mattéo,Guendouzi,Guendouzi,25
444145,Gabriel Teodoro,Martinelli Silva,Martinelli,26
462424,William,Saliba,Saliba,27
79852,Jed,Steer,Steer,28
85242,Conor,Hourihane,Hourihane,29
98980,Emiliano,Martínez,Martínez,30
108156,Björn,Engels,Engels,31
110504,Bertrand,Traoré,Traoré,32
114283,Jack,Grealish,Grealish,33
122775,Morgan,Sanson,Sanson,34
122806,John,McGinn,McGinn,35
123354,Kortney,Hause,Hause,36
148508,Mahmoud Ahmed,Ibrahim Hassan,Trézéguet,37
149484,Tyrone,Mings,Mings,38
169359,Matt,Targett,Targett,39
178301,Ollie,Watkins,Watkins,40
184704,Marvelous,Nakamba,Nakamba,41
193488,Anwar,El Ghazi,El Ghazi,42
195546,Emiliano,Buendía Stati,Buendía,43
199796,Matthew,Cash,Cash,44
199798,Ezri,Konsa Ngoyo,Konsa,45
203368,Frédéric,Guilbert,Guilbert,46
213345,Wesley,Moraes,Wesley,47
217487,Mbwana Ally,Samatta,Samatta,48
221239,Keinan,Davis,Davis,49
230046,Douglas Luiz,Soares de Paulo,Douglas Luiz,50
232653,Jacob,Ramsey,Ramsey,51
18892,Ashley,Young,Young,52
39155,Adam,Lallana,Lallana,53
49262,Jason,Steele,Steele,54
60307,Pascal,Groß,Groß,55
61933,Shane,Duffy,Duffy,56
66242,Davy,Pröpper,Pröpper,57
78916,Dan,Burn,Burn,58
83299,Lewis,Dunk,Dunk,59
109345,Solomon,March,March,60
110735,Adam,Webster,Webster,61
111478,Joël,Veltman,Veltman,62
115382,Neal,Maupay,Maupay,63
116216,Leandro,Trossard,Trossard,64
131897,Mathew,Ryan,Ryan,65
165210,Alireza,Jahanbakhsh,Jahanbakhsh,66
198869,Ben,White,White,67
209362,Bernardo,Fernandes Da Silva Junior,Bernardo,68
215059,Robert,Sánchez,Sánchez,69
227127,Yves,Bissouma,Bissouma,70
232792,Tariq,Lamptey,Lamptey,71
233425,Aaron,Connolly,Connolly,72
235382,Steven,Alzate,Alzate,73
243016,Alexis,Mac Allister,Mac Allister,74
243505,Jakub,Moder,Moder,75
61810,Pontus,Jansson,Jansson,76
128295,Christian,Nørgaard,Nørgaard,77
144485,Ivan,Toney,Toney,78
154138,Tariqe,Fosu-Henry,Fosu,79
154561,David,Raya Martin,Raya,80
174932,Sergi,Canós,Canós,81
183656,Pelenda Joshua,Dasilva,Dasilva,82
194010,Rico,Henry,Henry,83
204580,Vitaly,Janelt,Janelt,84
205836,Saman,Ghoddos,Ghoddos,85
207283,Mathias,Jensen,Jensen,86
213687,Charlie,Goode,Goode,87
216620,Marcus,Forss,Forss,88
226956,Mads,Roerslev Rasmussen,Roerslev,89
228044,Mads,Bech Sørensen,Sørensen,90
231065,Ethan,Pinnock,Pinnock,91
235448,Ellery,Balcombe,Balcombe,92
420922,Jan,Zamburek,Zamburek,93
434024,Patrik,Gunnarsson,Gunnarsson,94
434662,Halil,Dervişoğlu,Dervişoğlu,95
446008,Bryan,Mbeumo,Mbeumo,96
481405,Mads,Bidstrup,Bidstrup,97
17761,James,Tarkowski,Tarkowski,98
17997,Phil,Bardsley,Bardsley,99
39487,Erik,Pieters,Pieters,100
40145,Jack,Cork,Cork,101
40845,Dale,Stephens,Stephens,102
41674,Kevin,Long,Long,103
44683,Jay,Rodriguez,Rodriguez,104
44699,Ashley,Barnes,Barnes,105
51927,Ben,Mee,Mee,106
60551,Ashley,Westwood,Westwood,107
60586,Johann Berg,Gudmundsson,Gudmundsson,108
60689,Chris,Wood,Wood,109
68983,Matthew,Lowton,Lowton,110
81183,Matej,Vydra,Vydra,111
98747,Nick,Pope,Pope,112
103914,Charlie,Taylor,Taylor,113
168399,Will,Norris,Norris,114
172782,Josh,Brownhill,Brownhill,115
217401,Josh,Benson,Benson,116
220037,Bailey,Peacock-Farrell,Peacock-Farrell,117
433154,Dwight,McNeil,McNeil,118
41328,César,Azpilicueta,Azpilicueta,119
44346,Olivier,Giroud,Giroud,120
51090,Thiago,Emiliano da Silva,Thiago Silva,121
82263,Marcos,Alonso,Alonso,122
85955,Jorge Luiz,Frello Filho,Jorginho,123
88894,Ross,Barkley,Barkley,124
91651,Mateo,Kovacic,Kovacic,125
94245,Michy,Batshuayi,Batshuayi,126
102380,Antonio,Rüdiger,Rüdiger,127
103192,Kurt,Zouma,Zouma,128
109745,Kepa,Arrizabalaga,Arrizabalaga,129
116594,N'Golo,Kanté,Kanté,130
124183,Hakim,Ziyech,Ziyech,131
126187,Ruben,Loftus-Cheek,Loftus-Cheek,132
135363,Andreas,Christensen,Christensen,133
165153,Timo,Werner,Werner,134
172850,Benjamin,Chilwell,Chilwell,135
173879,Tammy,Abraham,Abraham,136
176413,Christian,Pulisic,Pulisic,137
184341,Mason,Mount,Mount,138
199598,Ethan,Ampadu,Ampadu,139
209046,Callum,Hudson-Odoi,Hudson-Odoi,140
219847,Kai,Havertz,Havertz,141
225796,Reece,James,James,142
228286,Edouard,Mendy,Mendy,143
232787,Conor,Gallagher,Gallagher,144
243568,Billy,Gilmour,Gilmour,145
40836,Vicente,Guaita,Guaita,146
49413,James,Tomkins,Tomkins,147
50471,James,McArthur,McArthur,148
54861,Christian,Benteke,Benteke,149
55037,Cheikhou,Kouyaté,Kouyaté,150
58786,Martin,Kelly,Kelly,151
66975,Luka,Milivojevic,Milivojevic,152
80146,Jordan,Ayew,Ayew,153
82403,Wilfried,Zaha,Zaha,154
86417,Jeffrey,Schlupp,Schlupp,155
105666,Jack,Butland,Butland,156
173954,Jairo,Riedewald,Riedewald,157
185478,Jarosław,Jach,Jach,158
231747,Jean-Philippe,Mateta,Mateta,159
232413,Eberechi,Eze,Eze,160
232423,Nathan,Ferguson,Ferguson,161
244723,Tyrick,Mitchell,Mitchell,162
41823,Fabian,Delph,Delph,163
55422,Gylfi,Sigurdsson,Sigurdsson,164
59949,Seamus,Coleman,Coleman,165
60025,James,Rodríguez,James,166
100649,Bernard,Anício Caldeira Duarte,Bernard,167
101188,Lucas,Digne,Digne,168
106611,Michael,Keane,Keane,169
111234,Jordan,Pickford,Pickford,170
119765,Allan,Marques Loureiro,Allan,171
120250,André Filipe,Tavares Gomes,André Gomes,172
121599,Abdoulaye,Doucouré,Doucouré,173
153133,Alex,Iwobi,Iwobi,174
164511,Yerry,Mina,Mina,175
