code,first_name,second_name,web_name,26-27
154561,David,Raya Martín,Raya,1
109745,Kepa,Arrizabalaga Revuelta,Arrizabalaga,2
437495,Illan,Meslier,Meslier,3
226597,Gabriel,dos Santos Magalhães,Gabriel,4
445122,Jurriën,Timber,J.Timber,5
462424,William,Saliba,Saliba,6
499169,Myles,Lewis-Skelly,Lewis-Skelly,7
466075,Riccardo,Calafiori,Calafiori,8
448104,Piero,Hincapié,Hincapie,9
198869,Benjamin,White,White,10
500040,Cristhian,Mosquera,Mosquera,11
223340,Bukayo,Saka,Saka,12
204480,Declan,Rice,Rice,13
232413,Eberechi,Eze,Eze,14
184029,Martin,Ødegaard,Ødegaard,15
248857,Noni,Madueke,Madueke,16
195384,Mikel,Merino Zazón,Merino,17
444145,Gabriel,Martinelli Silva,Martinelli,18
481655,Martín,Zubimendi Ibáñez,Zubimendi,19
616077,Max,Dowman,Dowman,20
128295,Christian,Nørgaard,Nørgaard,21
499175,Ethan,Nwaneri,Nwaneri,22
438098,Fábio,Ferreira Vieira,Fábio Vieira,23
200641,Reiss,Nelson,Nelson,24
224117,Viktor,Gyökeres,Gyökeres,25
219847,Kai,Havertz,Havertz,26
205651,Gabriel,Fernando de Jesus,G.Jesus,27
98980,Emiliano,Martínez Romero,Martinez,28
72147,Marco,Bizot,M.Bizot,29
101188,Lucas,Digne,Digne,30
199798,Ezri,Konsa Ngoyo,Konsa,31
199796,Matty,Cash,Cash,32
149484,Tyrone,Mings,Mings,33
244954,Pau,Torres,Pau,34
515597,Lamare,Bogarde,Bogarde,35
441302,Ian,Maatsen,Maatsen,36
184667,Victor,Lindelöf,Lindelöf,37
606798,Andrés,García,A.García,38
578545,Kosta,Nedeljkovic,Nedeljkovic,39
244850,Morgan,Rogers,Rogers,40
195546,Emiliano,Buendía Stati,Buendía,41
485337,Evann,Guessand,Guessand,42
166989,Youri,Tielemans,Tielemans,43
215711,Leon,Bailey,Bailey,44
122806,John,McGinn,McGinn,45
88894,Ross,Barkley,Barkley,46
226944,Boubacar,Kamara,Kamara,47
449871,Amadou,Onana,Onana,48
469247,Samuel,Iling-Junior,Iling Jr,49
645618,Bradley,Burrowes,Burrowes,50
577285,George,Hemmings,George Hemmings,51
653481,Alysson Edward Franco,da Rocha dos Santos,Alysson,52
614071,Johan,Manzambi,Manzambi,53
448089,Joao,Gomes,Gomes,54
178301,Ollie,Watkins,Watkins,55
173879,Tammy,Abraham,Abraham,56
457569,Đorđe,Petrović,Petrović,57
40383,Fraser,Forster,Forster,58
444172,Will,Dennis,Dennis,59
463981,James,Hill,Hill,60
494521,Adrien,Truffert,Truffert,61
242882,Bafodé,Diakité,Diakité,62
620487,Veljko,Milosavljevic,Milosavljević,63
54469,Adam,Smith,Smith,64
436893,Julián,Araujo Zúñiga,J.Araujo,65
575901,Julio,Soler Barreto,Soler,66
499604,Rayan Vitor,Simplício Rocha,Rayan,67
201658,Marcus,Tavernier,Tavernier,68
503139,Alex,Scott,Scott,69
222683,Justin,Kluivert,Kluivert,70
155408,Lewis,Cook,Cook,71
496208,Ben,Gannon-Doak,Gannon-Doak,72
200785,Tyler,Adams,Adams,73
111317,David,Brooks,Brooks,74
158499,Ryan,Christie,Christie,75
614574,Alex,Tóth,Tóth.A,76
489888,Amine,Adli,Adli,77
560262,Junior,Kroupi,Kroupi.Jr,78
444102,Francisco Evanilson,de Lima Barbosa,Evanilson,79
168636,Enes,Ünal,Enes Ünal,80
561245,Álvaro,Rodríguez,Rodríguez,81
200720,Caoimhín,Kelleher,Kelleher,82
507433,Hákon Rafn,Valdimarsson,Valdimarsson,83
432830,Nathan,Collins,Collins,84
444765,Sepp,van den Berg,Van den Berg,85
249231,Keane,Lewis-Potter,Lewis-Potter,86
191866,Kristoffer,Ajer,Ajer,87
607464,Michael,Kayode,Kayode,88
194010,Rico,Henry,Henry,89
472713,Aaron,Hickey,Hickey,90
231065,Ethan,Pinnock,Pinnock,91
570241,Kim,Ji-soo,Ji-soo,92
513086,Jannik,Schuster,Schuster,93
513418,Kevin,Schade,Schade,94
533463,Dango,Ouattara,O.Dango,95
440089,Mikkel,Damsgaard,Damsgaard,96
207283,Mathias,Jensen,Jensen,97
204580,Vitaly,Janelt,Janelt,98
543295,Antoni,Milambo,Milambo,99
244858,Fábio,Freitas Gouveia Carvalho,Carvalho,100
56979,Jordan,Henderson,Henderson,101
