code,first_name,second_name,web_name,23-24
232223,Folarin,Balogun,Balogun,1
58822,Cédric,Alves Soares,Cédric,2
153256,Mohamed,Elneny,M.Elneny,3
438098,Fábio,Ferreira Vieira,Fábio Vieira,4
226597,Gabriel,dos Santos Magalhães,Gabriel,5
219847,Kai,Havertz,Havertz,6
156074,Rob,Holding,Holding,7
205651,Gabriel,Fernando de Jesus,G.Jesus,8
85955,Jorge Luiz,Frello Filho,Jorginho,9
440854,Jakub,Kiwior,Kiwior,10
479683,Marcus,Oliveira Alencar,Marquinhos,11
444145,Gabriel,Martinelli Silva,Martinelli,12
205533,Eddie,Nketiah,Nketiah,13
184029,Martin,Ødegaard,Ødegaard,14
167199,Thomas,Partey,Thomas,15
195735,Nicolas,Pépé,Pepe,16
225321,Aaron,Ramsdale,Ramsdale,17
115918,Rúnar Alex,Rúnarsson,Rúnarsson,18
223340,Bukayo,Saka,Saka,19
462424,William,Saliba,Saliba,20
437742,Albert,Sambi Lokonga,Sambi,21
209289,Emile,Smith Rowe,Smith Rowe,22
437626,Nuno,Varela Tavares,Tavares,23
192895,Kieran,Tierney,Tierney,24
223723,Takehiro,Tomiyasu,Tomiyasu,25
116216,Leandro,Trossard,Trossard,26
201410,Auston,Trusty,Trusty,27
224068,Matt,Turner,Turner,28
198869,Benjamin,White,White,29
84450,Granit,Xhaka,Xhaka,30
206325,Oleksandr,Zinchenko,Zinchenko,31
106468,Alexandre,Moreno Lopera,Alex Moreno,32
433979,Cameron,Archer,Archer,33
215711,Leon,Bailey,Bailey,34
195546,Emiliano,Buendía Stati,Buendia,35
199796,Matty,Cash,Cash,36
101184,Calum,Chambers,Chambers,37
84583,Philippe,Coutinho Correia,Coutinho,38
221239,Keinan,Davis,Davis,39
151589,Leander,Dendoncker,Dendoncker,40
165659,Diego Carlos,Santos Silva,Diego Carlos,41
101188,Lucas,Digne,Digne,42
230046,Douglas Luiz,Soares de Paulo,Douglas Luiz,43
476344,Jhon,Durán,Duran,44
123354,Kortney,Hause,Hause,45
490094,Tim,Iroegbunam,Iroegbunam,46
226944,Boubacar,Kamara,Kamara,47
199798,Ezri,Konsa Ngoyo,Konsa,48
98980,Emiliano,Martínez Romero,Martinez,49
122806,John,McGinn,McGinn,50
149484,Tyrone,Mings,Mings,51
184704,Marvelous,Nakamba,Nakamba,52
111782,Robin,Olsen,Olsen,53
481624,Jaden,Philogene-Bidace,Philogene,54
232653,Jacob,Ramsey,J.Ramsey,55
122775,Morgan,Sanson,Sanson,56
248164,Viljami,Sinisalo,Sinisalo,57
166989,Youri,Tielemans,Tielemans,58
110504,Bertrand,Traoré,Bertrand Traoré,59
178301,Ollie,Watkins,Watkins,60
213345,Wesley,Moraes Ferreira da Silva,Wesley,61
444180,Jaidon,Anthony,Anthony,62
168991,Philip,Billing,Billing,63
111317,David,Brooks,Brooks,64
158499,Ryan,Christie,Christie,65
155408,Lewis,Cook,L.Cook,66
244085,Siriki,Dembélé,Siriki,67
81012,Ryan,Fredericks,Fredericks,68
463981,James,Hill,Hill,69
235530,Lloyd,Kelly,Kelly,70
444183,Gavin,Kilkenny,Kilkenny,71
222683,Justin,Kluivert,Kluivert,72
128309,Jamal,Lowe,Lowe,73
133845,Emiliano,Marcondes,Marcondes,74
223911,Chris,Mepham,Mepham,75
128340,Kieffer,Moore,Moore,76
69752,Norberto,Murara Neto,Neto,77
533463,Dango,Ouattara,O.Dango,78
156687,Ben,Pearson,Pearson,79
32259,Darren,Randolph,Randolph,80
156685,Joe,Rothwell,Rothwell,81
437730,Antoine,Semenyo,Semenyo,82
221466,Marcos,Senesi,Senesi,83
54469,Adam,Smith,Smith,84
154566,Dominic,Solanke,Solanke,85
201658,Marcus,Tavernier,Tavernier,86
424044,Hamed,Traorè,Hamed Traorè,87
229600,Mark,Travers,Travers,88
477580,Illia,Zabarnyi,Zabarnyi,89
191866,Kristoffer,Ajer,Ajer,90
235448,Ellery,Balcombe,Balcombe,91
432160,Shandon,Baptiste,Baptiste,92
228044,Mads,Bech Sørensen,Bech,93
481405,Mads,Bidstrup,Bidstrup,94
174932,Sergi,Canós Tenés,Canós,95
432830,Nathan,Collins,Collins,96
503300,Matthew,Cox,Cox,97
440089,Mikkel,Damsgaard,Damsgaard,98
183656,Josh,Dasilva,Dasilva,99
434662,Halil,Dervişoğlu,Dervişoğlu,100
118342,Mark,Flekken,Flekken,101
213687,Charlie,Goode,Goode,102
194010,Rico,Henry,Henry,103
472713,Aaron,Hickey,Hickey,104
204580,Vitaly,Janelt,Janelt,105
207283,Mathias,Jensen,Jensen,106
249231,Keane,Lewis-Potter,Lewis-Potter,107
446008,Bryan,Mbeumo,Mbeumo,108
51927,Ben,Mee,Mee,109
128295,Christian,Nørgaard,Nørgaard,110
428580,Frank,Onyeka,Onyeka,111
231065,Ethan,Pinnock,Pinnock,112
154561,David,Raya Martin,Raya,113
226956,Mads,Roerslev Rasmussen,Roerslev,114
513418,Kevin,Schade,Schade,115
140200,Thomas,Strakosha,Strakosha,116
144485,Ivan,Toney,Toney,117
591357,Ryan,Trevitt,Trevitt,118
216646,Yoane,Wissa,Wissa,119
508395,Yegor,Yarmoliuk,Yarmoliuk,120
48760,Mathias,Jorgensen,Zanka,121
535818,Simon,Adingra,Adingra,122
235382,Steven,Alzate,Alzate,123
509416,Yasin,Ayari,Ayari,124
