code,first_name,second_name,web_name,id
48844,David,Ospina,Ospina,1
11334,Petr,Cech,Cech,2
98980,Damian Emiliano,Martinez,Martinez,3
51507,Laurent,Koscielny,Koscielny,4
17127,Per,Mertesacker,Mertesacker,5
158074,Gabriel Armando,de Abreu,Gabriel,6
98745,Héctor,Bellerín,Bellerín,7
42427,Kieran,Gibbs,Gibbs,8
80254,Carl,Jenkinson,Jenkinson,9
38411,Nacho,Monreal,Monreal,10
156074,Rob,Holding,Holding,11
69140,Shkodran,Mustafi,Mustafi,12
111457,Sead,Kolasinac,Kolasinac,13
37265,Alexis,Sánchez,Sánchez,14
20467,Theo,Walcott,Walcott,15
37605,Mesut,Özil,Özil,16
19524,Santiago,Cazorla,Cazorla,17
41792,Aaron,Ramsey,Ramsey,18
81880,Alex,Oxlade-Chamberlain,Chamberlain,19
56864,Francis,Coquelin,Coquelin,20
153133,Alex,Iwobi,Iwobi,21
153256,Mohamed,Elneny,Elneny,22
84450,Granit,Xhaka,Xhaka,23
54102,Jack,Wilshere,Wilshere,24
44346,Olivier,Giroud,Giroud,25
50175,Danny,Welbeck,Welbeck,26
155851,Lucas,Pérez,Pérez,27
59966,Alexandre,Lacazette,Lacazette,28
40349,Asmir,Begovic,Begovic,29
18726,Artur,Boruc,Boruc,30
15885,Adam,Federici,Federici,31
15149,Simon,Francis,Francis,32
56917,Steve,Cook,Steve Cook,33
41320,Charlie,Daniels,Daniels,34
54469,Adam,Smith,Adam Smith,35
149484,Tyrone,Mings,Mings,36
120447,Bradley,Smith,Brad Smith,37
126184,Nathan,Aké,Aké,38
48615,Harry,Arter,Arter,39
20037,Marc,Pugh,Pugh,40
15237,Andrew,Surman,Surman,41
56872,Junior,Stanislas,Stanislas,42
40387,Dan,Gosling,Gosling,43
59741,Max,Gradel,Gradel,44
103912,Jordon,Ibe,Ibe,45
155408,Lewis,Cook,Lewis Cook,46
90105,Ryan,Fraser,Fraser,47
75115,Callum,Wilson,Wilson,48
88498,Benik,Afobe,Afobe,49
178304,Lys,Mousset,Mousset,50
78007,Joshua,King,King,51
7958,Jermain,Defoe,Defoe,52
48860,Niki,Mäenpää,Mäenpää,53
131897,Mathew,Ryan,Ryan,54
83299,Lewis,Dunk,Dunk,55
61933,Shane,Duffy,Duffy,56
19071,Uwe,Hünemeier,Hünemeier,57
11352,Bruno,Saltor Grau,Bruno,58
42748,Gaëtan,Bong,Bong,59
15137,Liam,Rosenior,Rosenior,60
85128,Connor,Goldson,Goldson,61
83543,Anthony,Knockaert,Knockaert,62
40845,Dale,Stephens,Stephens,63
38490,Beram,Kayal,Kayal,64
11735,Steve,Sidwell,Sidwell,65
109345,Solomon,March,March,66
88170,Jiri,Skalak,Skalak,67
79934,Oliver,Norwood,Norwood,68
2513,Jamie,Murphy,Murphy,69
60307,Pascal,Groß,Groß,70
20529,Glenn,Murray,Murray,71
38499,Tomer,Hemed,Hemed,72
28462,Sam,Baldock,Baldock,73
21205,Tom,Heaton,Heaton,74
1801,Paul,Robinson,Robinson,75
68983,Matthew,Lowton,Lowton,76
51927,Ben,Mee,Mee,77
40616,Stephen,Ward,Ward,78
17761,James,Tarkowski,Tarkowski,79
41674,Kevin,Long,Long,80
103914,Charlie,Taylor,Taylor,81
39158,Scott,Arfield,Arfield,82
15982,Dean,Marney,Marney,83
60586,Johann Berg,Gudmundsson,Gudmundsson,84
39847,Steven,Defour,Defour,85
83314,Jeff,Hendrick,Hendrick,86
90517,Robbie,Brady,Brady,87
60551,Ashley,Westwood,Westwood,88
12813,Jonathan,Walters,Walters,89
40145,Jack,Cork,Cork,90
40399,Sam,Vokes,Vokes,91
73426,Andre,Gray,Gray,92
44699,Ashley,Barnes,Barnes,93
60772,Thibaut,Courtois,Courtois,94
41251,Eduardo,dos Reis Carvalho,Eduardo,95
20310,Willy,Caballero,Caballero,96
41328,César,Azpilicueta,Azpilicueta,97
19419,Gary,Cahill,Cahill,98
103192,Kurt,Zouma,Zouma,99
82263,Marcos,Alonso,Alonso,100
41270,David,Luiz Moreira Marinho,David Luiz,101
49013,Victor,Moses,Moses,102
102380,Antonio,Rüdiger,Rüdiger,103
42786,Eden,Hazard,Hazard,104
17878,Cesc,Fàbregas,Fàbregas,105
47431,Willian,Borges Da Silva,Willian,106
62398,Nemanja,Matic,Matic,107
126187,Ruben,Loftus-Cheek,Loftus-Cheek,108
49579,Pedro,Rodríguez Ledesma,Pedro,109
167767,Robert Kenedy,Nunes do Nascimento,Kenedy,110
116594,N'Golo,Kanté,Kanté,111
89085,Nathaniel,Chalobah,Chalobah,112
94245,Michy,Batshuayi,Batshuayi,113
18507,Diego,Da Silva Costa,Costa,114
20066,Wayne,Hennessey,Hennessey,115
11554,Julian,Speroni,Speroni,116
49413,James,Tomkins,Tomkins,117
19188,Scott,Dann,Dann,118
55494,Joel,Ward,Ward,119
58786,Martin,Kelly,Kelly,120
7906,Damien,Delaney,Delaney,121
79228,Pape,Souaré,Souaré,122
86417,Jeffrey,Schlupp,Schlupp,123
74230,Patrick,van Aanholt,van Aanholt,124
19197,Jason,Puncheon,Puncheon,125
82403,Wilfried,Zaha,Zaha,126
50471,James,McArthur,McArthur,127
75773,Chung-yong,Lee,Lee Chung-yong,128
27341,Yohan,Cabaye,Cabaye,129
44343,Bakary,Sako,Sako,130
60252,Andros,Townsend,Townsend,131
66975,Luka,Milivojevic,Milivojevic,132
59125,Connor,Wickham,Wickham,133
54861,Christian,Benteke,Benteke,134
111234,Jordan,Pickford,Pickford,135
78315,Joel,Robles,Robles,136
10318,Maarten,Stekelenburg,Stekelenburg,137
12745,Leighton,Baines,Baines,138
59949,Seamus,Coleman,Coleman,139
7645,Phil,Jagielka,Jagielka,140
114093,Matthew,Pennington,Pennington,141
121221,Ramiro,Funes Mori,Funes Mori,142
19159,Ashley,Williams,Williams,143
194164,Mason,Holgate,Holgate,144
153673,Jonjoe,Kenny,Kenny,145
106611,Michael,Keane,Keane,146
55452,Yannick,Bolasie,Bolasie,147
26901,Kevin,Mirallas,Mirallas,148
88894,Ross,Barkley,Barkley,149
50472,James,McCarthy,McCarthy,150
1632,Gareth,Barry,Barry,151
87447,Muhamed,Besic,Besic,152
17349,Aaron,Lennon,Lennon,153
42774,Morgan,Schneiderlin,Schneiderlin,154
80801,Idrissa,Gueye,Gueye,155
173807,Tom,Davies,Davies,156
219352,Ademola,Lookman,Lookman,157
109065,Davy,Klaassen,Klaassen,158
177815,Dominic,Calvert-Lewin,Calvert-Lewin,159
108438,Sandro,Ramírez,Sandro,160
13017,Wayne,Rooney,Rooney,161
168977,Joel,Coleman,Coleman,162
57513,Jonas,Lössl,Lössl,163
85368,Christopher,Schindler,Schindler,164
54284,Chris,Löwe,Löwe,165
104545,Tommy,Smith,Smith,166
87856,Michael,Hefele,Hefele,167
18006,Martin,Cranie,Cranie,168
192301,Jon Gorenc,Stankovic,Stankovic,169
7638,Mark,Hudson,Hudson,170
48760,Mathias,Jorgensen,Zanka,171
74471,Aaron,Mooy,Mooy,172
51344,Rajiv,van La Parra,van La Parra,173
79619,Jonathan,Hogg,Hogg,174
168991,Philip,Billing,Billing,175
168172,Joe,Lolley,Lolley,176
167541,Jack,Payne,Payne,177
5589,Dean,Whitehead,Whitehead,178
104535,Harry,Bunn,Bunn,179
49202,Sean,Scannell,Scannell,180
87428,Elias,Kachunga,Kachunga,181
86176,Tom,Ince,Ince,182
160190,Kasey,Palmer,Palmer,183
80755,Danny,Williams,Williams,184
92383,Nahki,Wells,Wells,185
84112,Collin,Quaner,Quaner,186
147303,Laurent,Depoitre,Depoitre,187
169141,Steve,Mounie,Mounie,188
17745,Kasper,Schmeichel,Schmeichel,189
38038,Ben,Hamer,Hamer,190
15033,Wes,Morgan,Morgan,191
37402,Christian,Fuchs,Fuchs,192
40725,Danny,Simpson,Simpson,193
12413,Robert,Huth,Huth,194
41321,Yohan,Benalouane,Benalouane,195
172850,Benjamin,Chilwell,Chilwell,196
103127,Molla,Wagué,Wagué,197
95658,Harry,Maguire,Maguire,198
103025,Riyad,Mahrez,Mahrez,199
51938,Marc,Albrighton,Albrighton,200
13152,Andy,King,King,201
61603,Daniel,Drinkwater,Drinkwater,202
172632,Demarai,Gray,Gray,203
155569,Daniel,Amartey,Amartey,204
86881,Nampalys,Mendy,Mendy,205
203341,Wilfred,Ndidi,Ndidi,206
90714,Ahmed,Musa,Musa,207
54513,Vicente,Iborra,Iborra,208
101668,Jamie,Vardy,Vardy,209
54316,Leonardo,Ulloa,Ulloa,210
78412,Shinji,Okazaki,Okazaki,211
149828,Islam,Slimani,Slimani,212
66797,Simon,Mignolet,Mignolet,213
104542,Loris,Karius,Karius,214
38454,Dejan,Lovren,Lovren,215
100059,Alberto,Moreno,Moreno,216
57328,Nathaniel,Clyne,Clyne,217
171287,Joseph,Gomez,Gomez,218
60914,Joel,Matip,Matip,219
33871,Ragnar,Klavan,Klavan,220
40784,Mamadou,Sakho,Sakho,221
15157,James,Milner,Milner,222
169187,Trent,Alexander-Arnold,Alexander-Arnold,223
43191,Leiva,Lucas,Lucas,224
56979,Jordan,Henderson,Henderson,225
84583,Philippe,Coutinho,Coutinho,226
112338,Emre,Can,Can,227
39155,Adam,Lallana,Lallana,228
141921,Oluwaseyi,Ojo,Sheyi Ojo,229
110979,Sadio,Mané,Mané,230
210237,Marko,Grujic,Grujic,231
41733,Georginio,Wijnaldum,Wijnaldum,232
182436,Ben,Woodburn,Woodburn,233
118748,Mohamed,Salah,Salah,234
92217,Roberto,Firmino,Firmino,235
40755,Daniel,Sturridge,Sturridge,236
84939,Danny,Ings,Ings,237
152760,Divock,Origi,Origi,238
154566,Dominic,Solanke,Solanke,239
121160,Ederson,Santana de Moraes,Ederson,240
33148,Claudio,Bravo,Bravo,241
97299,John,Stones,Stones,242
42593,Aleksandar,Kolarov,Kolarov,243
17476,Vincent,Kompany,Kompany,244
57410,Nicolás,Otamendi,Otamendi,245
41823,Fabian,Delph,Delph,246
103955,Raheem,Sterling,Sterling,247
20664,David,Silva,David Silva,248
14664,Gnegneri Yaya,Touré,Yaya Touré,249
27789,Fernando,Luiz Rosa,Fernandinho,250
52538,Fernando Francisco,Reges,Fernando,251
61366,Kevin,De Bruyne,De Bruyne,252
59859,Ilkay,Gündogan,Gündogan,253
86173,Manuel,Agudo Durán,Nolito,254
182156,Leroy,Sané,Sané,255
165809,Bernardo Mota,Veiga de Carvalho e Silva,Bernardo Silva,256
37572,Sergio,Agüero,Agüero,257
173515,Kelechi,Iheanacho,Iheanacho,258
205651,Gabriel Fernando,de Jesus,Jesus,259
51940,David,De Gea,De Gea,260
42899,Sergio,Romero,Romero,261
168196,Joel Dinis,Castro Pereira,Joel Pereira,262
