code,first_name,second_name,web_name,fbref
60551,Ashley,Westwood,Westwood,495945ef
60586,Johann Berg,Gudmundsson,Gudmundsson,f72293fc
60598,Aleksandar,Dragovic,Dragovic,6fd8a334
60689,Chris,Wood,Wood,4e9a0555
60706,Adrián,San Miguel del Castillo,Adrián,f76e6b4e
60772,Thibaut,Courtois,Courtois,1840e36d
60794,Adam,Matthews,Matthews,d8bffa70
60914,Joel,Matip,Matip,b217ef29
61256,Carlos Henrique,Casimiro,Casemiro,4d224fe8
61262,Oscar,dos Santos Emboaba Junior,Oscar,57fe98dd
61302,Ryan,Allsop,Allsop,af615123
61316,Jose Luis,Mato Sanmartín,Joselu,6265208f
61366,Kevin,De Bruyne,De Bruyne,e46012d4
61538,Callum,McManaman,McManaman,1a5dbcc2
61548,Manolo,Gabbiadini,Gabbiadini,8f866fe8
61558,Thiago,Alcántara do Nascimento,Thiago,77e84962
61566,Roberto,Pereyra,Pereyra,75f2c59f
61595,Marc,Muniesa,Muniesa,4db76f57
61600,Romaine,Sawyers,Sawyers,77bb1522
61603,Daniel,Drinkwater,Drinkwater,2649ff32
61604,Matty,James,James,ebd0a048
61739,Maxime,Le Marchand,Le Marchand,321a71a7
61760,Kristoffer,Nordfeldt,Nordfeldt,78549904
61810,Pontus,Jansson,Jansson,172e52d8
61858,Mame Biram,Diouf,Diouf,7f4f3e49
61916,Stefan,Johansen,Johansen,a48da055
61933,Shane,Duffy,Duffy,7314bba4
62398,Nemanja,Matic,Matic,eb7822d7
62399,Dusan,Tadic,Tadic,2475dcc6
62974,Erik,Lamela,Lamela,abe66106
63370,James,McClean,McClean,53538b39
63426,Enda,Stevens,Stevens,17d4507a
66242,Davy,Pröpper,Pröpper,fdd85f94
66247,Marvin,Zeegelaar,Zeegelaar,8abd0c03
66588,Luke,Ayling,Ayling,420d7c7d
66733,Juan,Cuadrado,Cuadrado,0ab1f153
66749,Romelu,Lukaku,Lukaku,5eae500a
66797,Simon,Mignolet,Mignolet,d436eb94
66838,Cenk,Tosun,Tosun,9a104dee
66842,André,Schürrle,Schürrle,ecbb3fdf
66975,Luka,Milivojevic,Milivojevic,2ce2508a
67089,Martin,Dubravka,Dubravka,3a949a25
67184,Roderick Jefferson,Gonçalves Miranda,Miranda,390ab439
67527,Allan-Roméo,Nyom,Nyom,97572117
68312,Xherdan,Shaqiri,Shaqiri,6421ec64
68983,Matthew,Lowton,Lowton,9a9c05db
69140,Shkodran,Mustafi,Mustafi,3f2d59fe
69143,Juraj,Kucka,Kucka,5aaef9ef
69752,Norberto,Murara Neto,Neto,a9dc785c
69960,Philipp,Wollscheid,Wollscheid,c4cca587
71738,Marco,Stiepermann,Stiepermann,b606638c
72222,Mateusz,Klich,Klich,282679b4
72681,Denis,Odoi,Odoi,f7750aa0
73314,Willian José,Da Silva,Willian José,d87e2cae
73426,Andre,Gray,Gray,c24dba2a
73459,Ashley Darel Jazz,Richards,Jazz Richards,afef14da
73494,Grzegorz,Krychowiak,Krychowiak,580d52dd
73889,Diafra,Sakho,Sakho,57c433c8
74033,Sam,Clucas,Clucas,987718f5
74208,Paul,Pogba,Pogba,867239d3
74230,Patrick,van Aanholt,van Aanholt,5f09991f
74297,Leandro,Bacuna,Bacuna,9dc69d38
74375,Ezequiel,Schelotto,Schelotto,a6e316c1
74471,Aaron,Mooy,Mooy,47b7e3af
74854,Simon,Moore,Moore,e7434f04
75115,Callum,Wilson,Wilson,c596fcb0
75773,Chung-yong,Lee,Lee Chung-yong,49b05a83
75826,Danny,Ward,Ward,cfb29823
75880,Daniel,Ayala,Ayala,302560a0
76306,Lukas,Rupp,Rupp,3faa1780
76357,Tom,Cairney,Cairney,a8748947
76359,Phil,Jones,Jones,def899bd
76360,Nathaniel,Mendez-Laing,Mendez-Laing,b4b2f632
76542,Sung-yueng,Ki,Ki Sung-yueng,1d8c99b0
77359,Florian,Lejeune,Lejeune,6eaed4eb
77454,Fabio,Borini,Borini,ef5b337e
77610,Danny,Batth,Batth,f1d0fa63
77760,Cristian,Gamboa,Gamboa,f27680d9
77762,Bryan,Oviedo,Oviedo,31faf295
77777,Ahmed El-Sayed,Hegazy,Hegazi,5540c9dc
77794,Kieran,Trippier,Trippier,21512407
78007,Joshua,King,King,43458538
78056,Oriol,Romeu Vidal,Romeu,4b511457
78091,Gastón,Ramírez,Ramírez,2c851997
78315,Joel,Robles,Robles,cda0b317
78356,Charlie,Austin,Austin,8d228291
78412,Shinji,Okazaki,Okazaki,68796d61
78607,Kenny,McLean,McLean,471f16b3
78830,Harry,Kane,Kane,21a66f6a
78911,Kadeem,Harris,Harris,24396398
78916,Dan,Burn,Burn,b2d31e83
79228,Pape,Souaré,Souaré,46b5375e
79619,Jonathan,Hogg,Hogg,9306d5ea
79733,Scott,Malone,Malone,f15a50e8
79852,Jed,Steer,Steer,a8a3d139
79934,Oliver,Norwood,Norwood,43439614
80146,Jordan,Ayew,Ayew,da052c14
80179,Adam,Forshaw,Forshaw,9f1938ab
80183,Luke,Garbutt,Garbutt,41017ad5
80201,Bernd,Leno,Leno,2628fd2b
80226,Serge,Aurier,Aurier,5c2b4f07
80254,Carl,Jenkinson,Jenkinson,874125a3
80447,Maya,Yoshida,Yoshida,caffaf5a
80498,Eunan,O'Kane,O'Kane,b7f8b1fc
80607,Christian,Eriksen,Eriksen,980522ec
80711,Yaya,Sanogo,Sanogo,11ced928
80755,Danny,Williams,Williams,ec9a28ce
80788,Daniel,Lafferty,Lafferty,cfc41f7a
80789,Jordi,Amat,Amat,d70a2141
80792,Greg,Cunninghamm,Cunningham,dc10b26c
80801,Idrissa,Gueye,Gueye,72c812f3
80935,Papy,Djilobodji,Djilobodji,083525e5
80954,Rodrigo,Moreno,Rodrigo,1fb1c435
