code,first_name,second_name,web_name,understat
49957,Kamil,Grosicki,Grosicki,3231.0
49982,Sean,Morrison,Morrison,6823.0
50089,Geoff,Cameron,Cameron,859.0
50093,David,Button,Button,6843.0
50175,Danny,Welbeck,Welbeck,501.0
50229,Matt,Phillips,Phillips,1737.0
50232,Jonjo,Shelvey,J.Shelvey,769.0
50471,James,McArthur,McArthur,633.0
50472,James,McCarthy,McCarthy,589.0
51090,Thiago,Emiliano da Silva,T.Silva,3288.0
51344,Rajiv,van La Parra,van La Parra,6036.0
51507,Laurent,Koscielny,Koscielny,494.0
51917,Diego,Cavalieri,Cavalieri,6620.0
51927,Ben,Mee,Mee,1654.0
51934,Ron-Robert,Zieler,Zieler,91.0
51938,Marc,Albrighton,Albrighton,753.0
51940,David,De Gea Quintana,De Gea,546.0
51943,Václav,Hladký,Hladký,
52153,Miguel,Britos,Britos,567.0
52287,Evandro,Goebel,Evandro,5550.0
52484,Leon,Balogun,Balogun,394.0
52538,Fernando Francisco,Reges,Fernando,615.0
52775,Nicolas,Nkoulou,Nkoulou,
52940,Daryl,Janmaat,Janmaat,764.0
53371,David,Meyler,Meyler,1693.0
54102,Jack,Wilshere,Wilshere,1036.0
54284,Chris,Löwe,Löwe,6032.0
54316,Leonardo,Ulloa,Ulloa,756.0
54421,Floyd,Ayité,Ayité,3328.0
54469,Adam,Smith,Smith,825.0
54484,Francisco,Femenía Far,Femenía,5043.0
54513,Vicente,Iborra,Iborra,2065.0
54527,Loïc,Damour,Damour,7215.0
54694,Pierre-Emerick,Aubameyang,Aubameyang,318.0
54738,Thomas,Kaminski,Kaminski,11712.0
54756,Victor,Wanyama,Wanyama,836.0
54764,Jonathan,Kodjia,Kodjia,7725.0
54771,Fabio Pereira,da Silva,Fabio,1752.0
54861,Christian,Benteke,Benteke,606.0
54908,Nacer,Chadli,Chadli,648.0
55037,Cheikhou,Kouyaté,Kouyaté,532.0
55038,Kevin,McDonald,McDonald,6836.0
55313,Franck,Tabanou,Tabanou,980.0
55317,Bernardo,Espinosa Zúñiga,Bernardo,1716.0
55422,Gylfi,Sigurdsson,Sigurdsson,714.0
55452,Yannick,Bolasie,Bolasie,518.0
55459,Aaron,Cresswell,Cresswell,534.0
55494,Joel,Ward,Ward,510.0
55605,Toby,Alderweireld,Alderweireld,639.0
55829,Claudio,Yacob,Yacob,808.0
55909,Chris,Smalling,Smalling,628.0
55914,Liam,Cooper,Cooper,8816.0
56192,Rhu-endly,Martina,Cuco Martina,832.0
56377,Andriy,Yarmolenko,Yarmolenko,6274.0
56827,Costel,Pantilimon,Pantilimon,580.0
56864,Francis,Coquelin,Coquelin,497.0
56872,Junior,Stanislas,Stanislas,463.0
56917,Steve,Cook,Cook,458.0
56979,Jordan,Henderson,Henderson,605.0
56981,Joe,Bennett,Bennett,959.0
56983,Matt,Ritchie,Ritchie,461.0
57001,Wilfried,Bony,Bony,622.0
57112,Eliaquim,Mangala,Mangala,626.0
57127,Teemu,Pukki,Pukki,7696.0
57134,Salomón,Rondón,Rondón,813.0
57145,Federico,Fernández,Fernández,708.0
57187,Giedrius,Arlauskis,Arlauskis,949.0
57249,Henrikh,Mkhitaryan,Mkhitaryan,317.0
57328,Nathaniel,Clyne,Clyne,603.0
57410,Nicolás,Otamendi,Otamendi,611.0
57513,Jonas,Lössl,Lössl,3468.0
57531,Michail,Antonio,Antonio,531.0
57586,Luciano,Narsingh,Narsingh,5554.0
57647,Lyle,Taylor,Lyle Taylor,10762.0
57736,Jan,Kirchhoff,Kirchhoff,232.0
57913,Barry,Douglas,Douglas,
58376,Alex,McCarthy,McCarthy,635.0
58476,Rui Pedro,da Rocha Fonte,Fonte,7145.0
58498,Odion,Ighalo,Ighalo,573.0
58621,Kyle,Walker,Walker,638.0
58771,Jack,Colback,Colback,767.0
58786,Martin,Kelly,Kelly,525.0
58791,Ryan,Mason,Mason,649.0
58822,Cédric,Alves Soares,Cédric,847.0
58845,Ciaran,Clark,Clark,875.0
58877,Daley,Blind,Blind,548.0
58893,Marcos,Rojo,Rojo,550.0
59044,Adam,Clayton,Clayton,1717.0
59115,Mile,Jedinak,Jedinak,515.0
59125,Connor,Wickham,Wickham,519.0
59614,Mark,Duffy,Duffy,
59735,Karl,Darlow,Darlow,780.0
59741,Max,Gradel,Gradel,464.0
59779,Pedro,Obiang,Obiang,542.0
59796,Gökhan,Töre,Töre,1703.0
59846,Ander,Herrera,Herrera,552.0
59856,Abel,Hernández,Hernández,1698.0
59859,İlkay,Gündoğan,Gündoğan,314.0
59940,Kyle,Bartley,Bartley,964.0
59949,Séamus,Coleman,Coleman,585.0
59966,Alexandre,Lacazette,Lacazette,3277.0
60025,James,Rodríguez,James,2249.0
60165,Wahbi,Khazri,Khazri,734.0
60232,Craig,Dawson,Dawson,804.0
60252,Andros,Townsend,Townsend,775.0
60270,Simone,Zaza,Zaza,1642.0
60307,Pascal,Groß,Groß,239.0
60551,Ashley,Westwood,Westwood,669.0
60586,Jóhann Berg,Gudmundsson,Gudmundsson,1663.0
60598,Aleksandar,Dragovic,Dragovic,5219.0
60689,Chris,Wood,Wood,4456.0
60706,Adrián,San Miguel del Castillo,Adrián,527.0
60772,Thibaut,Courtois,Courtois,680.0
60794,Adam,Matthews,Matthews,1034.0
60914,Joel,Matip,Matip,332.0
61256,Carlos Henrique,Casimiro,Casemiro,2248.0
61262,Oscar,dos Santos Emboaba Junior,Oscar,692.0
61302,Ryan,Allsop,Allsop,1050.0
61316,Jose Luis,Mato Sanmartín,Joselu,866.0
61366,Kevin,De Bruyne,De Bruyne,447.0
61538,Callum,McManaman,McManaman,880.0
61548,Manolo,Gabbiadini,Gabbiadini,1383.0
61558,Thiago,Alcántara do Nascimento,Thiago,229.0
61566,Roberto,Pereyra,Pereyra,1723.0
61595,Marc,Muniesa,Muniesa,860.0
61600,Romaine,Sawyers,Sawyers,8757.0
61603,Daniel,Drinkwater,Drinkwater,752.0
61604,Matty,James,James,4441.0
61739,Maxime,Le Marchand,Le Marchand,3304.0
61760,Kristoffer,Nordfeldt,Nordfeldt,722.0
61810,Pontus,Jansson,Jansson,1801.0
61858,Mame Biram,Diouf,Diouf,868.0
61916,Stefan,Johansen,Johansen,6838.0
61933,Shane,Duffy,Duffy,6047.0
62398,Nemanja,Matic,Matic,697.0
62399,Dusan,Tadic,Tadic,840.0
62974,Erik,Lamela,Lamela,644.0
63370,James,McClean,McClean,814.0
63426,Enda,Stevens,Stevens,7707.0
66242,Davy,Pröpper,Pröpper,6050.0
66247,Marvin,Zeegelaar,Zeegelaar,6303.0
66588,Luke,Ayling,Ayling,8716.0
66733,Juan,Cuadrado,Cuadrado,1089.0
66749,Romelu,Lukaku Bolingoli,Lukaku,594.0
66797,Simon,Mignolet,Mignolet,487.0
66838,Cenk,Tosun,Tosun,6477.0
66842,André,Schürrle,Schürrle,154.0
66975,Luka,Milivojevic,Milivojevic,5549.0
67089,Martin,Dúbravka,Dúbravka,6532.0
67184,Roderick Jefferson,Gonçalves Miranda,Miranda,
67527,Allan-Roméo,Nyom,Nyom,565.0
68312,Xherdan,Shaqiri,Shaqiri,888.0
68983,Matthew,Lowton,Lowton,1652.0
69140,Shkodran,Mustafi,Mustafi,1699.0
69143,Juraj,Kucka,Kucka,1123.0
69752,Norberto,Murara Neto,Neto,1297.0
69960,Philipp,Wollscheid,Wollscheid,858.0
71738,Marco,Stiepermann,Stiepermann,7694.0
72147,Marco,Bizot,M.Bizot,9614.0
72222,Mateusz,Klich,Klich,4381.0
72681,Denis,Odoi,Odoi,7077.0
73314,Willian José,Da Silva,Willian José,2361.0
73426,Andre,Gray,Gray,1660.0
73459,Ashley Darel Jazz,Richards,Jazz Richards,4467.0
73494,Grzegorz,Krychowiak,Krychowiak,2414.0
73889,Diafra,Sakho,Sakho,656.0
74033,Sam,Clucas,Clucas,1690.0
74208,Paul,Pogba,Pogba,1740.0
74230,Patrick,van Aanholt,van Aanholt,730.0
74297,Leandro,Bacuna,Bacuna,674.0
74375,Ezequiel,Schelotto,Schelotto,3873.0
74471,Aaron,Mooy,Mooy,6033.0
74854,Simon,Moore,Moore,7715.0
74944,Sam,Morsy,Morsy,12748.0
75115,Callum,Wilson,Wilson,468.0
75773,Chung-yong,Lee,Lee Chung-yong,526.0
75826,Danny,Ward,Ward,6830.0
75880,Daniel,Ayala,Ayala,1718.0
76306,Lukas,Rupp,Rupp,62.0
76357,Tom,Cairney,Cairney,6835.0
76359,Phil,Jones,Jones,951.0
76360,Nathaniel,Mendez-Laing,Mendez-Laing,6824.0
76542,Sung-yueng,Ki,Ki Sung-yueng,723.0
77359,Florian,Lejeune,Lejeune,5073.0
77454,Fabio,Borini,Borini,737.0
77610,Danny,Batth,Batth,
77760,Cristian,Gamboa,Gamboa,855.0
77762,Bryan,Oviedo,Oviedo,598.0
77777,Ahmed El-Sayed,Hegazy,Hegazi,3979.0
77794,Kieran,Trippier,Trippier,652.0
77818,James,Shea,Shea,11724.0
78007,Joshua,King,King,465.0
78056,Oriol,Romeu Vidal,Romeu,842.0
78091,Gastón,Ramírez,Ramírez,952.0
78315,Joel,Robles,Robles,584.0
78356,Charlie,Austin,Austin,848.0
78412,Shinji,Okazaki,Okazaki,754.0
78607,Kenny,McLean,McLean,7693.0
78830,Harry,Kane,Kane,647.0
78911,Kadeem,Harris,Harris,7120.0
78916,Dan,Burn,Burn,7382.0
79228,Pape,Souaré,Souaré,513.0
79602,Daniel,Bentley,Bentley,11361.0
79619,Jonathan,Hogg,Hogg,6301.0
79733,Scott,Malone,Malone,6040.0
79852,Jed,Steer,Steer,4475.0
79934,Oliver,Norwood,Norwood,7710.0
80146,Jordan,Ayew,J.Ayew,672.0
80179,Adam,Forshaw,Forshaw,1711.0
80183,Luke,Garbutt,Garbutt,4437.0
80201,Bernd,Leno,Leno,181.0
80226,Serge,Aurier,Aurier,3600.0
80254,Carl,Jenkinson,Jenkinson,938.0
80447,Maya,Yoshida,Yoshida,845.0
80498,Eunan,O'Kane,O'Kane,472.0
80607,Christian,Eriksen,Eriksen,646.0
80711,Yaya,Sanogo,Sanogo,4402.0
80755,Danny,Williams,Williams,6037.0
80788,Daniel,Lafferty,Lafferty,4428.0
80789,Jordi,Amat,Amat,721.0
80792,Greg,Cunninghamm,Cunningham,6831.0
80801,Idrissa Gana,Gueye,Gana,668.0
80935,Papy,Djilobodji,Djilobodji,1071.0
80954,Rodrigo,Moreno,Rodrigo,2381.0
81012,Ryan,Fredericks,Fredericks,6891.0
81048,Josip,Drmic,Drmic,209.0
81061,Michael,Simões Domingues,Mika,1721.0
81183,Matej,Vydra,Vydra,1017.0
81205,Mislav,Orsic,Orsic,11298.0
81441,Mark,Gillespie,Gillespie,8729.0
81880,Alex,Oxlade-Chamberlain,Chamberlain,966.0
82078,Kenneth,Zohore,Zohore,6928.0
82143,Wes,Foderingham,Foderingham,8776.0
82257,Raphael,Spiegel,Spiegel,1005.0
82263,Marcos,Alonso,Alonso,1621.0
82403,Wilfried,Zaha,Zaha,522.0
82428,Marten,de Roon,de Roon,1710.0
82514,Tim,Ream,Ream,7184.0
82660,Marco,Van Ginkel,Van Ginkel,946.0
82691,George,Baldock,Baldock,7706.0
82738,Luke,Berry,Berry,11722.0
82771,Markus,Henriksen,Henriksen,1696.0
83091,Borja,González Tomás,Bastón,1701.0
83283,Nathan,Redmond,Redmond,790.0
83299,Lewis,Dunk,Dunk,6048.0
83312,Ben,Gibson,Gibson,1707.0
83314,Jeff,Hendrick,Hendrick,1746.0
83427,Jack,Robinson,Robinson,8286.0
83428,Grant,Hanley,Hanley,7690.0
83543,Anthony,Knockaert,Knockaert,4497.0
84112,Collin,Quaner,Quaner,6035.0
84182,Alphonse,Areola,Areola,2310.0
84384,Timm,Klose,Klose,162.0
84395,Florin,Gardos,Gardos,4405.0
84450,Granit,Xhaka,Xhaka,204.0
84583,Philippe,Coutinho Correia,Coutinho,488.0
84915,Michael,Hector,Hector,5274.0
84939,Danny,Ings,Ings,986.0
85017,Tendayi,Darikwa,Darikwa,1666.0
85128,Connor,Goldson,Goldson,6299.0
85242,Conor,Hourihane,Hourihane,7721.0
85352,Bruno,Martins Indi,Martins Indi,1743.0
85368,Christopher,Schindler,Schindler,6031.0
85624,Christian,Kabasele,Kabasele,1725.0
85633,Matz,Sels,Sels,6903.0
85654,Jordy,Clasie,Clasie,837.0
