code,first_name,second_name,web_name,16-17,17-18,18-19,19-20,20-21,21-22,22-23,understat,fbref
54764,Jonathan,Kodjia,Kodjia,,,,26,,,,7725,ecf44e09
54771,Fabio Pereira,da Silva,Fabio,527,,,,,,,,bc7b4580
54861,Christian,Benteke,Benteke,213,134,152,129,132,149,155,606,ab070c55
54908,Nacer,Chadli,Chadli,392,427,,,,,,648,5b54bf3b
55037,Cheikhou,Kouyaté,Kouyaté,459,451,412,139,133,150,,532,8d3c902d
55038,Kevin,McDonald,McDonald,,,183,,172,,,6836,71a08f97
55313,Franck,Tabanou,Tabanou,364,,,,,,,980,15e1afd5
55317,Bernardo,Espinosa Zúñiga,Bernardo,280,,,,,,,1716,4242011c
55422,Gylfi,Sigurdsson,Sigurdsson,368,359,172,151,150,164,,714,76dd1480
55452,Yannick,Bolasie,Bolasie,109,147,165,,,,,518,715fc0fe
55459,Aaron,Cresswell,Cresswell,454,443,402,376,435,411,457,534,4f974391
55494,Joel,Ward,Ward,105,119,441,126,134,474,156,510,8a7ff278
55605,Toby,Alderweireld,Alderweireld,382,377,353,331,386,355,,639,f7d50789
55829,Claudio,Yacob,Yacob,442,429,,,,,,808,bda6ffd4
55909,Chris,Smalling,Smalling,244,263,284,223,292,,,628,b6964eb6
55914,Liam,Cooper,Cooper,,,,,195,184,221,8816,dc64b8b3
56192,Rhu-endly,Martina,Cuco Martina,302,464,163,577,,,,832,22551915
56377,Andriy,Yarmolenko,Yarmolenko,,,453,392,436,412,,6274,849c826a
56827,Costel,Pantilimon,Pantilimon,406,396,,,,,,580,d24e154c
56864,Francis,Coquelin,Coquelin,20,20,,,,,,497,a6951bf8
56872,Junior,Stanislas,Stanislas,42,42,36,77,,,58,463,6992791d
56917,Steve,Cook,Cook,32,33,27,58,,,379,458,3e5e4e63
56979,Jordan,Henderson,Henderson,201,225,249,198,244,222,275,605,935e6b8f
56981,Joe,Bennett,Bennett,,,94,,,,,959,dc936144
56983,Matt,Ritchie,Ritchie,,295,317,251,322,292,350,461,71ef519e
57001,Wilfried,Bony,Bony,240,542,,,,,,622,61abe9b6
57112,Eliaquim,Mangala,Mangala,225,502,,,,,,626,f520049f
57127,Teemu,Pukki,Pukki,,,,278,,315,,7696,0745b37d
57134,Salomón,Rondón,Rondón,449,435,493,,,591,177,813,b318a643
57145,Federico,Fernández,Fernández,363,354,516,254,323,465,351,708,f25b010f
57187,Giedrius,Arlauskis,Arlauskis,639,,,,,,,949,1858bbf7
57249,Henrikh,Mkhitaryan,Mkhitaryan,268,281,18,16,,,,317,dd0daf32
57328,Nathaniel,Clyne,Clyne,193,217,241,,577,493,157,603,0442183b
57410,Nicolás,Otamendi,Otamendi,226,245,264,208,269,,,611,0d267745
57513,Jonas,Lössl,Lössl,,163,191,479,151,673,,3468,939bc634
57531,Michail,Antonio,Antonio,464,454,415,389,437,413,458,531,ac05f970
57586,Luciano,Narsingh,Narsingh,632,369,,,,,,5554,977ffc24
57647,Lyle,Taylor,Taylor,,,,,,,380,,3e80e04e
57736,Jan,Kirchhoff,Kirchhoff,347,,,,,,,232,a14d04e3
57913,Barry,Douglas,Douglas,,,424,,196,,,,c859705e
58376,Alex,McCarthy,McCarthy,101,305,328,318,363,334,401,635,36c2ca73
58476,Rui Pedro,da Rocha Fonte,Fonte,,,188,,,,,7145,6ff8ef56
58498,Odion,Ighalo,Ighalo,426,,,624,293,,,573,03622183
58621,Kyle,Walker,Walker,384,379,265,203,270,249,299,638,86dd77d1
58771,Jack,Colback,Colback,,299,,482,,,381,767,963a9201
58786,Martin,Kelly,Kelly,106,120,140,128,135,151,,525,d7492450
58791,Ryan,Mason,Mason,396,,,,,,,649,c8fac933
58822,Cédric,Alves Soares,Cédric,301,310,332,486,5,5,1,847,839c14e1
58845,Ciaran,Clark,Clark,,289,311,259,324,293,352,875,2b91cf8e
58877,Daley,Blind,Blind,254,270,290,,,,,548,691bef82
58893,Marcos,Rojo,Rojo,248,266,287,227,294,,,550,e0991c04
59044,Adam,Clayton,Clayton,283,,,,,,,1717,45b59689
59115,Mile,Jedinak,Jedinak,112,,,,,,,515,22fd2214
59125,Connor,Wickham,Wickham,122,133,444,130,136,,,519,41cc19c2
59614,Mark,Duffy,Duffy,,,,300,,,,,d86ccbc9
59735,Karl,Darlow,Darlow,,287,308,263,325,294,353,780,cde3309f
59741,Max,Gradel,Gradel,44,44,,,,,,464,c5a500ca
59779,Pedro,Obiang,Obiang,460,452,413,400,,,,542,ba1e04b3
59796,Gökhan,Töre,Töre,467,,,,,,,1703,51960957
59846,Ander,Herrera,Herrera,262,278,299,,,,,552,436a9dd0
59856,Abel,Hernández,Hernández,163,,,,,,,1698,a36da810
59859,Ilkay,Gündogan,Gündogan,236,253,274,222,271,250,300,314,819b3158
59940,Kyle,Bartley,Bartley,,485,,,412,,,964,18e96f64
59949,Seamus,Coleman,Coleman,126,139,157,144,152,165,178,585,0420d84f
59966,Alexandre,Lacazette,Lacazette,,28,22,12,6,6,,3277,9dbb75ca
60025,James,Rodríguez,James,,,,,508,166,,2249,715bf047
60165,Wahbi,Khazri,Khazri,352,,,,,,,734,2677a1de
60232,Craig,Dawson,Dawson,433,424,,439,576,414,459,804,3e9e06cb
60252,Andros,Townsend,Townsend,120,131,149,135,137,482,179,775,b28bbd58
60270,Simone,Zaza,Zaza,550,,,,,,,1642,9592289a
60307,Pascal,Groß,Gross,,70,59,49,57,55,104,239,8aec0537
60551,Ashley,Westwood,Westwood,641,88,80,101,89,107,,669,495945ef
60586,Johann Berg,Gudmundsson,Gudmundsson,473,84,76,96,90,108,,1663,f72293fc
60598,Aleksandar,Dragovic,Dragovic,,541,,,,,,5219,6fd8a334
60689,Chris,Wood,Wood,,518,87,91,91,109,354,4456,4e9a0555
60706,Adrián,San Miguel del Castillo,Adrián,450,438,399,526,245,223,497,527,f76e6b4e
60772,Thibaut,Courtois,Courtois,73,94,111,,,,,680,1840e36d
60794,Adam,Matthews,Matthews,345,,,,,,,1034,d8bffa70
60914,Joel,Matip,Matip,199,219,243,185,246,224,276,332,b217ef29
61262,Oscar,dos Santos Emboaba Junior,Oscar,84,,,,,,,692,57fe98dd
61302,Ryan,Allsop,Allsop,600,,,,,,,1050,af615123
61316,Jose Luis,Mato Sanmartín,Joselu,338,488,327,261,,,,866,6265208f
61366,Kevin,De Bruyne,De Bruyne,235,252,273,215,272,251,301,447,e46012d4
61538,Callum,McManaman,McManaman,443,,,,,,,880,1a5dbcc2
61548,Manolo,Gabbiadini,Gabbiadini,643,327,349,,,,,1383,8f866fe8
61558,Thiago,Alcántara do Nascimento,Thiago,,,,,531,225,277,229,77e84962
61566,Roberto,Pereyra,Pereyra,539,415,391,369,,,,1723,75f2c59f
61595,Marc,Muniesa,Muniesa,322,333,,,,,,860,4db76f57
61600,Romaine,Sawyers,Sawyers,,,,,413,,,8757,77bb1522
61603,Daniel,Drinkwater,Drinkwater,179,202,128,120,,,,752,2649ff32
61604,Matty,James,James,602,474,229,177,222,,,4441,ebd0a048
61739,Maxime,Le Marchand,Le Marchand,,,455,,173,,,3304,321a71a7
61760,Kristoffer,Nordfeldt,Nordfeldt,357,351,,,,,,722,78549904
61810,Pontus,Jansson,Jansson,,,,,,76,78,1801,172e52d8
61858,Mame Biram,Diouf,Diouf,337,348,,,,,,868,7f4f3e49
61916,Stefan,Johansen,Johansen,,,185,,174,,,6838,a48da055
61933,Shane,Duffy,Duffy,,56,49,37,58,56,105,6047,7314bba4
62398,Nemanja,Matic,Matic,87,107,296,247,295,271,,697,eb7822d7
62399,Dusan,Tadic,Tadic,308,318,,,,,,840,2475dcc6
62974,Erik,Lamela,Lamela,393,386,363,346,387,356,,644,abe66106
63370,James,McClean,McClean,444,430,,,,,,814,53538b39
63426,Enda,Stevens,Stevens,,,,291,347,,,7707,17d4507a
66242,Davy,Pröpper,Pröpper,,490,60,54,59,57,,6050,fdd85f94
66247,Marvin,Zeegelaar,Zeegelaar,,537,384,,,,,6303,8abd0c03
66588,Luke,Ayling,Ayling,,,,,197,185,222,8716,420d7c7d
66733,Juan,Cuadrado,Cuadrado,85,,,,,,,1089,0ab1f153
66749,Romelu,Lukaku,Lukaku,143,285,306,232,,529,,594,5eae500a
66797,Simon,Mignolet,Mignolet,188,213,237,190,,,,487,d436eb94
66838,Cenk,Tosun,Tosun,,592,177,146,153,622,,6477,9a104dee
66842,André,Schürrle,Schürrle,,,478,,,,,154,ecbb3fdf
66975,Luka,Milivojevic,Milivojevic,646,132,150,134,138,152,158,5549,2ce2508a
67089,Martin,Dubravka,Dubravka,,621,309,262,326,295,355,6532,3a949a25
67184,Roderick Jefferson,Gonçalves Miranda,Miranda,,,429,,,,,,390ab439
67527,Allan-Roméo,Nyom,Nyom,412,422,,,,,,565,97572117
68312,Xherdan,Shaqiri,Shaqiri,333,342,462,194,247,226,,888,6421ec64
68983,Matthew,Lowton,Lowton,55,76,69,85,92,110,,1652,9a9c05db
69140,Shkodran,Mustafi,Mustafi,555,12,7,1,7,,,1699,3f2d59fe
69143,Juraj,Kucka,Kucka,,,,,,495,,1123,5aaef9ef
69960,Philipp,Wollscheid,Wollscheid,324,,,,,,,858,c4cca587
71738,Marco,Stiepermann,Stiepermann,,,,285,,316,,7694,b606638c
72222,Mateusz,Klich,Klich,,,,,198,186,223,4381,282679b4
72681,Denis,Odoi,Odoi,,,181,,525,,,7077,f7750aa0
73314,Willian José,Da Silva,Willian José,,,,,642,,,2361,d87e2cae
73426,Andre,Gray,Gray,68,92,395,364,,383,,1660,c24dba2a
73459,Ashley Darel Jazz,Richards,Jazz Richards,,,96,,,,,4467,afef14da
73494,Grzegorz,Krychowiak,Krychowiak,,533,,,,,,2414,580d52dd
73889,Diafra,Sakho,Sakho,470,458,,,,,,656,57c433c8
74033,Sam,Clucas,Clucas,156,519,,,,,,1690,987718f5
74208,Paul,Pogba,Pogba,503,282,302,238,296,272,,1740,867239d3
74230,Patrick,van Aanholt,van Aanholt,344,124,142,123,139,,,730,5f09991f
74297,Leandro,Bacuna,Bacuna,,,589,,,,,674,9dc69d38
74375,Ezequiel,Schelotto,Schelotto,,538,53,546,,,,3873,a6e316c1
74471,Aaron,Mooy,Mooy,,172,199,516,60,,,6033,47b7e3af
74854,Simon,Moore,Moore,,,,436,348,,,7715,e7434f04
75115,Callum,Wilson,Wilson,49,48,43,67,506,296,356,468,c596fcb0
75773,Chung-yong,Lee,Lee Chung-yong,117,128,,,,,,526,49b05a83
75826,Danny,Ward,Ward,,,105,,,,,6830,cfb29823
75880,Daniel,Ayala,Ayala,275,,,,,,,1718,302560a0
76306,Lukas,Rupp,Rupp,,,,602,,317,,62,3faa1780
76357,Tom,Cairney,Cairney,,,182,,175,,200,6835,a8748947
76359,Phil,Jones,Jones,245,264,285,231,297,632,328,951,def899bd
76360,Nathaniel,Mendez-Laing,Mendez-Laing,,,100,,,,,6824,b4b2f632
76542,Sung-yueng,Ki,Ki Sung-yueng,372,363,324,268,,,,723,1d8c99b0
77359,Florian,Lejeune,Lejeune,,294,314,257,327,,,5073,6eaed4eb
77454,Fabio,Borini,Borini,354,,,,,,,737,ef5b337e
77610,Danny,Batth,Batth,,,428,,,,,,f1d0fa63
77760,Cristian,Gamboa,Gamboa,435,,,,,,,855,f27680d9
77762,Bryan,Oviedo,Oviedo,140,,,,,,,598,31faf295
77777,Ahmed El-Sayed,Hegazy,Hegazi,,468,,,414,,,3979,5540c9dc
77794,Kieran,Trippier,Trippier,387,382,357,334,,678,357,652,21512407
78007,Joshua,King,King,48,51,45,68,651,468,,465,43458538
78056,Oriol,Romeu Vidal,Romeu,310,320,339,328,364,335,402,842,4b511457
78091,Gastón,Ramírez,Ramírez,491,,,,,,,952,2c851997
78315,Joel,Robles,Robles,123,136,,,,,,584,cda0b317
78356,Charlie,Austin,Austin,314,326,348,312,415,,,848,8d228291
78412,Shinji,Okazaki,Okazaki,186,211,235,,,,,754,68796d61
78607,Kenny,McLean,McLean,,,,286,,318,,7693,471f16b3
78830,Harry,Kane,Kane,403,394,372,338,388,357,427,647,21a66f6a
78911,Kadeem,Harris,Harris,,,535,,,,,7120,24396398
78916,Dan,Burn,Burn,,,582,475,61,58,358,7382,b2d31e83
79228,Pape,Souaré,Souaré,108,122,443,,,,,513,46b5375e
79619,Jonathan,Hogg,Hogg,,174,201,,,,,6301,9306d5ea
79733,Scott,Malone,Malone,,462,196,,,,,6040,f15a50e8
79852,Jed,Steer,Steer,,,,429,32,28,,4475,a8a3d139
79934,Oliver,Norwood,Norwood,,68,,302,349,,,7710,43439614
80146,Jordan,Ayew,Ayew,642,373,505,468,140,153,159,672,da052c14
80179,Adam,Forshaw,Forshaw,286,,,,199,552,224,1711,9f1938ab
80183,Luke,Garbutt,Garbutt,,629,,,,,,4437,41017ad5
80201,Bernd,Leno,Leno,,,2,14,8,1,2,181,2628fd2b
80226,Serge,Aurier,Aurier,,532,360,336,389,358,,3600,5c2b4f07
80254,Carl,Jenkinson,Jenkinson,9,9,581,9,,,,938,874125a3
80447,Maya,Yoshida,Yoshida,298,308,331,310,,,,845,caffaf5a
80498,Eunan,O'Kane,O'Kane,40,,,,,,,472,b7f8b1fc
80607,Christian,Eriksen,Eriksen,394,387,364,343,,699,519,646,980522ec
80711,Yaya,Sanogo,Sanogo,27,,,,,,,4402,11ced928
80755,Danny,Williams,Williams,,184,204,,,,,6037,ec9a28ce
80788,Daniel,Lafferty,Lafferty,502,,,,,,,4428,cfc41f7a
80789,Jordi,Amat,Amat,362,,,,,,,721,d70a2141
80792,Greg,Cunninghamm,Cunningham,,,467,,,,,6831,dc10b26c
80801,Idrissa,Gueye,Gueye,488,155,168,156,,,,668,72c812f3
80935,Papy,Djilobodji,Djilobodji,499,,,,,,,1071,083525e5
80954,Rodrigo,Moreno,Rodrigo,,,,,492,187,225,2381,1fb1c435
81012,Ryan,Fredericks,Fredericks,,,408,380,438,415,59,6891,c067631c
81048,Josip,Drmic,Drmic,,,,434,,,,209,15ea94de
81061,Michael,Simões Domingues,Mika,577,,,,,,,,d74a54d1
81183,Matej,Vydra,Vydra,483,,495,92,93,111,,1017,0d4ceb32
81441,Mark,Gillespie,Gillespie,,,,,488,514,,,e32958b7
81880,Alex,Oxlade-Chamberlain,Chamberlain,18,19,248,193,248,227,278,966,38c7feef
82078,Kenneth,Zohore,Zohore,,,107,,416,,,6928,5e508d0d
82143,Wes,Foderingham,Foderingham,,,,,350,,,,96cf7b61
82257,Raphael,Spiegel,Spiegel,591,,,,,,,,050b9803
82263,Marcos,Alonso,Alonso,561,100,115,103,104,122,129,1621,f4290206
82403,Wilfried,Zaha,Zaha,111,126,151,133,141,154,160,522,b2bc3b1f
82428,Marten,de Roon,de Roon,290,,,,,,,1710,2a1beb34
82514,Tim,Ream,Ream,,,180,,176,,201,7184,28b40c9c
82660,Marco,Van Ginkel,Van Ginkel,93,,,,,,,946,47681787
82691,George,Baldock,Baldock,,,,294,351,,,7706,394854c4
82771,Markus,Henriksen,Henriksen,573,,,,,,,1696,26acecd2
83091,Borja,González Tomás,Bastón,507,,,623,,,,1701,8c44e37b
83283,Nathan,Redmond,Redmond,304,324,343,320,365,336,403,790,ab651565
83299,Lewis,Dunk,Dunk,,55,48,42,62,59,106,6048,282f75f3
83312,Ben,Gibson,Gibson,278,,491,89,94,456,,1707,bcfb0142
83314,Jeff,Hendrick,Hendrick,560,86,78,100,485,297,375,1746,989d5705
83427,Jack,Robinson,Jack Robinson,,,,611,352,,,8286,7399c7a8
83428,Grant,Hanley,Hanley,,292,,277,,319,,7690,e9254eec
83543,Anthony,Knockaert,Knockaert,,62,55,52,177,,202,4497,6c679c6d
84112,Collin,Quaner,Quaner,,186,209,,,,,6035,19b8b0b9
84182,Alphonse,Areola,Areola,,,,,516,489,473,2310,2f965a72
84384,Timm,Klose,Klose,,,,272,,,,162,5f1d07f6
84395,Florin,Gardos,Gardos,300,,,,,,,4405,70eb7e9d
84450,Granit,Xhaka,Xhaka,24,23,17,18,9,7,3,204,e61b8aee
84583,Philippe,Coutinho Correia,Coutinho,203,226,,,,681,29,488,0ef89a37
84915,Michael,Hector,Hector,,,,,178,,,5274,5f1a2f31
84939,Danny,Ings,Ings,216,237,258,313,366,337,30,986,07802f7f
85017,Tendayi,Darikwa,Darikwa,60,,,,,,,,beecc37c
85128,Connor,Goldson,Goldson,,61,,,,,,6299,56f6f826
85242,Conor,Hourihane,Hourihane,,,,28,33,29,,7721,fcab00a0
85352,Bruno,Martins Indi,Martins Indi,562,513,,,,,,1743,7bc34048
85368,Christopher,Schindler,Schindler,,164,192,,,,,6031,8ae9869d
85624,Christian,Kabasele,Kabasele,414,403,380,354,,384,,1725,914ab9a1
85654,Jordy,Clasie,Clasie,309,319,,,,,,837,31c01b85
85955,Jorge Luiz,Frello Filho,Jorginho,,,459,118,105,123,130,1389,45db685d
85971,Son,Heung-min,Son,402,390,367,342,390,359,428,453,92e7e919
86129,Kalidou,Koulibaly,Koulibaly,,,,,,,520,1376,da974c7b
86153,Martín,Montoya,Montoya,,,503,38,63,,,1950,5cec2487
86173,Manuel,Agudo Durán,Nolito,237,254,,,,,,1732,b2d0ec1b
86176,Tom,Ince,Ince,,182,203,,,,,4454,67d23ab0
86417,Jeffrey,Schlupp,Schlupp,169,123,141,137,142,155,161,757,3312f911
86431,Brice,Dja Djédjé,Dja Djédjé,481,,,,,,,3605,d8593687
86881,Nampalys,Mendy,Mendy,183,205,527,179,518,203,252,1785,1598599e
86934,Manuel,Lanzini,Lanzini,462,453,414,391,439,416,460,535,26f6dca8
87107,Cyrus,Christie,Christie,,,460,,179,,,6833,7eb67dad
87121,Kieron,Freeman,Freeman,,,,292,,,,8046,c13c24c8
87396,Moritz,Leitner,Leitner,,,,288,,,,1217,9460aaed
87428,Elias,Kachunga,Kachunga,,181,212,,,,,248,5bddccc9
87447,Muhamed,Bešić,Bešić,139,152,,522,,,,908,7ca9f0f0
87835,Matt,Doherty,Doherty,,,425,401,457,360,429,6852,d557d734
87856,Michael,Hefele,Hefele,,167,,,,,,6039,91bdc54a
87873,Stuart,Dallas,Dallas,,,,,200,188,226,8718,67ca8566
88170,Jiri,Skalak,Skalak,,67,,,,,,,beaec218
88175,Lovre,Kalinic,Kalinic,,,,474,,,,8253,3a74f92b
88248,Stefan,Ortega Moreno,Ortega,,,,,,,324,,c1242d4e
88482,Álvaro,Morata,Morata,,472,134,,,,,1804,129af0db
88498,Benik,Afobe,Afobe,52,49,,,,,,826,b63f4077
88734,Neil,Etheridge,Etheridge,,,88,,,,,6821,2642bf6c
88894,Ross,Barkley,Barkley,134,149,127,117,106,124,131,592,3a24769f
88898,Moses,Odubajo,Odubajo,151,,,,,,,,761bc132
88900,Jack,Stephens,Stephens,504,313,333,308,367,338,404,1735,6adbc307
88935,Steven,Berghuis,Berghuis,421,411,,,,,,744,713c144a
89085,Nathaniel,Chalobah,Chalobah,530,112,387,374,,385,203,1677,422862ea
89274,José Ignacio,Peleteiro Romallo,Jota,,,,36,34,,,2132,9f351459
89335,Saúl,Ñíguez,Saúl,,,,,,592,,2266,c14bc029
89470,Onel,Hernández,Hernández,,,,284,,320,,7697,007b39a5
89572,Denis,Suárez,Suárez,,,586,,,,,2308,12c50af5
90105,Ryan,Fraser,Fraser,536,47,40,75,507,298,359,1683,d56543a0
90152,Raphaël,Varane,Varane,,,,,,555,329,2245,9f8e9423
90263,James,Husband,Husband,661,,,,,,,5576,33e2d513
90440,Tom,Trybull,Trybull,,,,290,,,,7692,552aa16c
90517,Robbie,Brady,Brady,640,87,79,98,95,,,789,96bb8cc2
90518,Ravel,Morrison,Morrison,,,,456,,,,1883,bf59c794
90585,Willy,Boly,Boly,,,423,405,458,428,474,6850,a4ac4b8f
90714,Ahmed,Musa,Musa,187,207,,,,,,1681,b7084daf
91047,Stuart,Armstrong,S.Armstrong,,,345,323,368,339,405,6893,97333cf5
91126,Will,Keane,Keane,557,,,,,,,1047,fc7f8f87
91651,Mateo,Kovacic,Kovacic,,,499,432,107,125,132,2254,79c0821a
91972,Saido,Berahino,Berahino,448,349,,,,,,811,25b166d0
91979,Jon,Flanagan,Flanagan,194,514,,,,,,490,f2428fd4
92159,Jetro,Willems,Willems,,,,498,,,,6143,9050ddc4
92170,Massadio,Haidara,Haidara,,465,,,,,,943,5167c97e
92217,Roberto,Firmino,Firmino,209,235,257,187,249,228,279,482,4c370d81
92259,Neeskens,Kebano,Kebano,,,187,,180,,204,6840,18b999f4
92293,Omar,Elabdellaoui,Elabdellaoui,634,,,,,,,5551,4f56170e
92371,Pablo,Marí Villar,Pablo Marí,,,,617,10,8,20,8380,aa54ec6f
92383,Nahki,Wells,Wells,,185,86,,,,,6389,b070482d
93001,Konstantinos,Stafylidis,Stafylidis,,599,,,,,,368,861e0116
93100,Jannik,Vestergaard,Vestergaard,,,463,304,369,340,253,111,1900032e
93127,Jesé,Rodríguez Ruiz,Jesé,,512,,,,,,2256,4a537185
93264,Eric,Dier,Dier,390,384,361,350,391,361,430,643,ac861941
93284,Florin,Andone,Andone,,,66,46,64,500,,4068,dc008610
93464,Tom,Carroll,Carroll,397,367,,,,,,653,5a1900a4
94147,Conor,Coady,Coady,,,430,403,459,429,475,6851,2928dca2
94245,Michy,Batshuayi,Batshuayi,96,113,592,461,108,126,,1678,2973d8ff
94248,Sergio,Rico,Rico,,,509,,,,,2072,5f0241b2
94924,Gerard,Deulofeu,Deulofeu,141,609,394,363,,,,591,39583cfd
94926,Olayinka Fredrick Oladotun,Ladapo,Ladapo,508,505,,,,,,1778,da2b8db3
95463,Danny,Ward,Ward,,530,457,170,223,204,254,473,d3ce0e89
95508,Fredrik,Ulvestad,Ulvestad,65,575,,,,,,1788,8f160d73
95658,Harry,Maguire,Maguire,153,198,220,160,298,273,330,1687,d8931174
95715,Lucas,Rodrigues Moura da Silva,Lucas Moura,,617,370,345,392,362,431,3293,2b622f01
96305,Jay,Fulton,Fulton,371,362,,,,,,896,434ad289
96306,Stephen,Kingsley,Kingsley,365,355,,,,,,892,488cc9c7
96764,M'Baye,Niang,Niang,637,,,,,,,1126,2054d037
96767,Dimitri,Foulquier,Foulquier,,,,542,,,,2509,45e17712
96778,Adam,Reach,Reach,285,,,,,,,,33a2d4dc
96787,Mohamed,Elyounoussi,Elyounoussi,,,346,322,,517,406,6894,68dc0dac
96994,Bobby,De Cordova-Reid,De Cordova-Reid,,,110,,181,,205,6827,0f7533cd
97032,Virgil,van Dijk,Van Dijk,303,311,246,183,250,229,280,833,e06683ca
97296,Tommie,Hoban,Hoban,480,,,,,,,,45045170
97299,John,Stones,Stones,128,242,262,207,273,252,302,586,5eecec3d
97485,Kevin,Wimmer,Wimmer,388,383,,,,,,650,faf55ce4
97615,Mike,van der Hoorn,van der Hoorn,366,356,,,,,,1702,25f50295
98745,Héctor,Bellerín,Bellerín,6,7,4,2,11,9,,492,f874dd44
98747,Nick,Pope,Pope,471,469,68,93,96,112,376,5552,4b40d9ca
98770,Ørjan,Nyland,Nyland,,,,27,35,,,250,bdedffac
98780,Juan Carlos,Paredes,Paredes,410,,,,,,,578,5d8c6afd
98914,Guido,Carrillo,Carrillo,,607,350,,,,,3424,8f898ba8
98980,Emiliano,Martínez Romero,Martínez,657,3,542,427,12,30,31,4401,7956236f
99127,Joel,Campbell,Campbell,23,,,,,,,506,895ff3ca
99323,Lazar,Markovic,Markovic,206,,594,,,,,4406,723ba189
100059,Alberto,Moreno,Moreno,192,216,240,,,,,608,11b9265b
100180,Danilo Luiz,da Silva,Danilo,,483,266,209,,,,2244,94b2001f
100412,André,Carrillo,Carrillo,,527,,,,,,6230,7527558b
100649,Bernard,Anício Caldeira Duarte,Bernard,,,507,152,154,167,,7063,ab4b3e35
101061,Philip,Heise,Heise,,,,484,,,,70,ef66b362
101105,Joe,Bryan,Bryan,,,510,,182,,206,6834,af69e7f0
101148,Jamaal,Lascelles,Lascelles,,290,312,258,328,299,360,766,450ab6fc
101178,James,Ward-Prowse,Ward-Prowse,306,317,338,321,370,341,407,843,3515d404
101179,Lloyd,Isgrove,Isgrove,584,,,,,,,1761,430696d5
101184,Calum,Chambers,Chambers,11,480,9,467,13,10,32,508,dc6f5bdd
101188,Lucas,Digne,Digne,,,484,141,155,168,33,1823,1b84dbe1
101394,Okay,Yokuslu,Yokuslu,,,,,654,,,6932,e49ce451
101537,Felipe Anderson,Pereira Gomes,Felipe Anderson,,,465,390,440,,,1208,9f1893b9
101582,Frederico,Rodrigues de Paula Santos,Fred,,,304,244,299,274,331,6817,b853e0ad
101668,Jamie,Vardy,Vardy,184,209,234,166,224,205,255,755,45963054
101982,Sam,Johnstone,Johnstone,,,,,417,,175,978,9e5708be
102057,Raúl,Jiménez,Jiménez,,,437,409,460,430,476,4105,b561db50
102366,Moritz,Bauer,Bauer,,594,,,,,,5453,cfe6238d
102380,Antonio,Rüdiger,Rüdiger,,103,118,104,109,127,,1822,18b896d6
102738,Giannelli,Imbula,Imbula,334,343,,,,,,861,b86fe156
102747,Djibril,Sidibé,Sidibé,,,,511,,,,3357,4c5b714f
102826,Benjamin,Mendy,Mendy,,484,267,204,274,253,,3389,5271c8f1
102836,Brice,Samba,Samba,,,,,,,382,,60d90c55
102884,Paulo,Gazzaniga Farias,Gazzaniga,295,565,536,341,393,,207,973,63d17038
103025,Riyad,Mahrez,Mahrez,176,199,223,217,275,254,303,750,892d5bb1
103100,Jonathan,Williams,Williams,116,,,,,,,1060,49b8432c
103123,Sébastien,Haller,Haller,,,,457,441,,,6144,ba115a40
103127,Molla,Wagué,Wagué,645,197,,,,,,1159,a440d8ca
103192,Kurt,Zouma,Zouma,79,99,526,459,110,128,461,935,ce4246f5
103912,Jordon,Ibe,Ibe,46,45,38,78,,,,481,9f736ed2
103914,Charlie,Taylor,Taylor,,81,74,87,97,113,,6044,cc2d7ad5
103955,Raheem,Sterling,Sterling,228,247,270,214,276,255,304,618,b400bde0
104073,Joe,Ralls,Ralls,,,98,,,,,6825,3730fcbc
104535,Harry,Bunn,Bunn,,179,,,,,,,c8d840f0
104542,Loris,Karius,Karius,189,214,238,,,,,37,32e7ce92
104545,Tommy,Smith,Smith,,166,194,,,,,6029,e9208654
104547,Dwight,Gayle,Gayle,,301,325,554,329,300,361,743,e58a03c6
104953,Christian,Atsu,Atsu,,300,320,267,330,,,2344,8816329f
105377,Ezgjan,Alioski,Alioski,,,,,201,,,8722,1a7fcf39
105666,Jack,Butland,Butland,316,328,,,586,156,162,856,cc70a1d5
105700,Davide,Zappacosta,Zappacosta,,543,120,109,,,,1178,7fe90ccd
105717,Arthur,Masuaku,Masuaku,505,446,410,378,442,417,462,1760,57df7a11
106449,Kevin,Stewart,Stewart,198,,,,,,,479,ff674795
106450,Alex,Pritchard,Pritchard,401,593,206,,,,,815,ff9fcd4d
106603,Ezekiel,Fryers,Fryers,580,,,,,,,1671,f58d6213
106611,Michael,Keane,Keane,58,146,162,143,156,169,180,1653,c5b7c315
106617,Patrick,Bamford,Bamford,553,,,,202,189,227,822,93feac6e
106618,Paul,Dummett,Dummett,,291,313,255,331,301,362,853,3fe6bd8c
106757,Jürgen,Locadia,Locadia,,604,65,45,,595,,6542,6cc47ae1
106760,Luke,Shaw,Shaw,247,265,286,226,300,275,332,1006,9c94165b
106824,Memphis,Depay,Depay,258,,,,,,,555,8f696594
106837,Dennis,Praet,Praet,,,,517,225,206,,1234,86695068
106899,Roque,Mesa,Mesa,,370,,,,,,2356,7c4243d4
107265,Angus,Gunn,Gunn,668,,452,319,371,448,,5544,e082af5b
107613,Romain,Saïss,Saïss,,,426,407,461,431,,3491,9fbbcf39
108053,Conor,Townsend,Townsend,,,,,418,,,8905,4dc4f138
108093,Luciano,Vietto,Vietto,,,513,,,,,2274,2513a588
