code,first_name,second_name,web_name,16-17,17-18,18-19,19-20,20-21,21-22,22-23,understat,fbref
17601,Scott,Carson,Carson,,,,562,608,593,502,8158,3e1550ee
17740,Jesús,Navas,Navas,232,,,,,,,616,3f10bd22
17745,Kasper,Schmeichel,Schmeichel,165,189,213,168,217,200,248,745,53af52f3
17761,James,Tarkowski,Tarkowski,59,79,72,84,81,98,199,1665,15ea812b
17878,Cesc,Fàbregas,Fàbregas,83,105,123,,,,,686,33508c78
17997,Phil,Bardsley,Bardsley,323,334,75,86,82,99,,857,1ae30132
18006,Martin,Cranie,Cranie,,168,,,,,,6344,9e53837d
18008,James,Morrison,Morrison,441,428,,,,,,990,21a66e33
18073,Mark,Noble,Noble,458,450,411,396,427,406,,533,ff527768
18155,Mathieu,Flamini,Flamini,576,,,,,,,895,148d4105
18440,Leon,Clarke,Clarke,,,,547,,,,8061,91c975a0
18499,Michael,McGovern,McGovern,,,,281,,313,,8022,51a19d04
18507,Diego,Da Silva Costa,Costa,97,114,,,,,,802,a190d597
18656,Heurelho da Silva,Gomes,Gomes,407,397,373,513,,,,564,d596e193
18665,Alexander,Tettey,Tettey,,,,289,,,,791,75566759
18726,Artur,Boruc,Boruc,29,30,25,73,,,,455,34ccf6fa
18759,Álvaro,Arbeloa,Arbeloa,568,,,,,,,1704,6dc73abd
18805,Joe,Ledley,Ledley,113,,,,,,,517,c221f149
18832,Richard,Stearman,Stearman,,,,296,,,,,9a3a436e
18867,Billy,Sharp,Sharp,,,,298,343,,,7712,e8c9f4e9
18892,Ashley,Young,Young,260,277,293,224,,52,,631,be927d03
18987,Robert,Snodgrass,Snodgrass,155,448,489,393,428,,,1691,9f4647e9
19057,Sebastian,Larsson,Larsson,349,,,,,,,740,b26efc36
19071,Uwe,Hünemeier,Hünemeier,,57,,,,,,4258,f42456eb
19101,Dimitrios,Konstantopoulos,Konstantopoulos,273,,,,,,,,05778dfe
19115,Curtis,Davies,Davies,149,,,,,,,1686,607fb965
19151,Chris,Brunt,Brunt,438,434,,,,,,904,ec7e6ad1
19159,Ashley,Williams,Williams,359,143,159,,,,,709,a498e276
19188,Scott,Dann,Dann,104,118,139,127,486,,,512,52105203
19194,David,Martin,Martin,,,,553,429,,,8082,07666c20
19197,Jason,Puncheon,Puncheon,110,125,146,,,,,514,fd3f57ce
19236,John,Ruddy,Ruddy,,,421,412,453,452,,785,da8b19e2
19272,Gareth,McAuley,McAuley,436,425,,,,,,806,ac7d7378
19342,Ikechi,Anya,Anya,419,,,,,,,577,c55e973d
19419,Gary,Cahill,Cahill,78,98,114,503,125,,,699,7914b9fe
19520,Ryan,Babel,Babel,,,575,,,,,5176,6438d426
19523,Sol,Bamba,Bamba,,,91,,,,,4027,5534217d
19524,Santiago,Cazorla,Cazorla,15,17,,,,,,965,e2e9c250
19556,David,Jones,Jones,61,,,,,,,1787,2f0edbe7
19568,Ibrahim,Afellay,Afellay,332,341,,,,,,864,9a8c6673
19624,João Filipe Iria,Santos Moutinho,Moutinho,,,475,415,454,426,503,3422,f5a00fa4
19687,Alex,Bruce,Bruce,154,,,,,,,4411,102ed2b2
19760,Fernando,Llorente,Llorente,500,371,371,,,,,1728,82dbf623
19812,Dusan,Kuciak,Kuciak,517,,,,,,,,c78c8c27
19838,Robert,Elliot,Elliot,,286,307,573,,574,,763,b1b25949
20037,Marc,Pugh,Pugh,38,40,34,,,,,466,9aacb284
20046,Stefano,Okaka,Okaka,552,418,397,,,,,1763,601ef102
20047,Jordan,Rhodes,Rhodes,292,,,,,,,1714,3b8b641c
20066,Wayne,Hennessey,Hennessey,100,115,135,132,126,480,518,509,76eca7e2
20145,Adrian,Mariappa,Mariappa,556,405,382,356,,,,524,8aa5f52c
20208,Charlie,Adam,Adam,328,338,,,,,,873,aff418dc
20310,Willy,Caballero,Caballero,219,96,112,112,101,641,424,624,a179d516
20399,Antonio,Barragán,Barragán,477,,,,,,,1706,487d9b09
20452,Shane,Long,Long,313,325,347,315,361,519,,839,9f472354
20467,Theo,Walcott,Walcott,13,15,164,153,148,332,400,503,1ecb65be
20480,Tim,Krul,Krul,,540,,280,,314,,982,f23f9d20
20481,Stephen,Ireland,Ireland,327,590,,,,,,867,bcf30f17
20487,Vito,Mannone,Mannone,339,,,,,,,726,c4173f1a
20529,Glenn,Murray,Murray,,71,62,44,53,,,882,f2f29dda
20658,Pablo,Zabaleta,Zabaleta,221,447,405,379,,,,610,6813ac34
20664,David,Silva,David Silva,230,248,271,219,,,,617,e2716bd0
20669,Shaun,MacDonald,MacDonald,41,,,,,,,471,fdcff59c
20695,Antonio,Valencia,Valencia,250,267,288,,,,,627,08aa17d0
21083,Nathan,Dyer,Dyer,376,366,,,,,,783,6dfd5af0
21123,Valon,Behrami,Behrami,420,410,,,,,,570,d3d758d8
21205,Tom,Heaton,Heaton,54,74,67,94,28,509,348,1651,a6de6361
21246,Lewis,Grabban,Grabban,51,,,,,,,467,1a857282
26719,Rene,Gilmartin,Gilmartin,683,,,,,,,,f1b7c957
26901,Kevin,Mirallas,Mirallas,133,148,469,,,,,595,aa51343f
26921,Arouna,Koné,Koné,144,,,,,,,601,f9a72ca4
27334,Mathieu,Debuchy,Debuchy,8,564,,,,,,967,92232aad
27335,Stephan,Lichtsteiner,Lichtsteiner,,,11,,,,,1303,99b1d0e6
27341,Yohan,Cabaye,Cabaye,118,129,,,,,,516,ad7b19ef
27436,David,McGoldrick,McGoldrick,,,,303,344,,,7711,dbe56a33
27462,Jesús,Gámez Duarte,Gámez,,293,,,,,,2329,bd1d1cbb
27698,Matthew,Connolly,Connolly,,,93,,,,,,2797fc1d
27707,Darron,Gibson,Gibson,138,,,,,,,921,f0e72e1c
27770,Birkir,Bjarnason,Bjarnason,,,,33,,,,8269,da13074e
27789,Fernando,Luiz Rosa,Fernandinho,233,250,272,221,266,453,,614,101da2b5
28082,Ralf,Fahrmann,Fahrmann,,,,449,,,,330,1e43fad8
28147,Mohamed,Diamé,Diamé,159,298,319,,,,,4471,b7d082af
28160,Mario,Suárez,Suárez,423,,,,,,,576,7106f0a0
28244,George,Boyd,Boyd,62,,,,,,,1656,0a9048ce
