code,first_name,second_name,web_name,transfermarkt
444765,Sepp,van den Berg,Van den Berg,541231
444880,Mika,Biereth,Biereth,565821
444884,Harvey,Elliott,Elliott,565822
445044,Dejan,Kulusevski,Kulusevski,431755
445548,Odeluga,Offiah,Offiah,567597
445550,Thomas,Dickson-Peters,Dickson-Peters,566888
445896,Kgaogelo,Chauke,Chauke,703577
446008,Bryan,Mbeumo,Mbeumo,413039
446281,Tony,Springett,Springett,570864
447093,Allan,Tchaptchet,Tchaptchet,465294
447203,Darwin,Núñez Ribeiro,Darwin,546543
447235,Troy,Parrott,Parrott,552655
447325,Harry,Tyrer,Tyrer,574448
447372,Ryan,Finnigan,Finnigan,807318
447373,Shane,Flynn,Flynn,583258
447715,Aaron,Ramsey,Ramsey,646658
447879,Joseph,Anang,Anang,576099
447880,Josh,Wilson-Esbrand,Wilson-Esbrand,576121
447932,Jordan,Zemura,Zemura,633530
448482,Robert,Street,Street,703474
448487,Andreas,Söndergaard,Söndergaard,462820
448496,Ed,Turns,Turns,580809
448514,Rayan,Aït-Nouri,Aït-Nouri,578391
448791,Harvey,White,White,581598
449434,Anthony,Elanga,Elanga,583189
449444,Mazeed,Ogungbo,Ogungbo,581445
449781,Alexandre,Jankewitz,Jankewitz,507472
449871,Amadou,Onana,Onana,485706
449926,Adrián,Bernabé,Bernabé,466802
449974,Lukas,Jensen,Jensen,581890
449988,Fabio,Silva,Fabio Silva,505653
450070,Crysencio,Summerville,Summerville,474701
450314,Matthew,Daly,Daly,566349
450434,Deniz,Undav,Undav,339314
450527,Mohammed,Salisu,Salisu,563963
450529,Lewis,Bate,Bate,587003
450535,Malcolm,Ebiowei,Ebiowei,512354
450539,Myles,Peart-Harris,Peart-Harris,587002
450541,Luke,Plange,Plange,586986
450542,Jesurun,Rak-Sakyi,Rak-Sakyi,586834
450544,Charlie,Patino,Patino,581674
450550,Fin,Stevens,Stevens,587019
450553,Alex,Kirk,Kirk,586980
451310,Jonathan,Tomkinson,Tomkinson,696762
451340,Kaoru,Mitoma,Mitoma,504849
455084,Leif,Davis,Davis,596446
456350,Gavin,Bazunu,Bazunu,585550
456966,Caleb,Watts,Watts,610665
458297,Pierre,Ekwah,Ekwah,538994
459373,Gonçalo Bento,Soares Cardoso,Cardoso,587106
460028,Levi,Colwill,Colwill,614258
460029,Nathan,Young-Coombes,Young-Coombes,581679
461017,Christian,Saydee,Saydee,655835
461023,Ryan,Alebiosu,Alebiosu,610649
461026,Chem,Campbell,Campbell,614603
461080,Joseph,McGlynn,McGlynn,704801
461096,Lewis,Richardson,Richardson,657863
461102,Bobby,Thomas,Thomas,788283
461195,Dennis,Cirkin,Cirkin,568006
461201,Matthew,Craig,Craig,633659
461212,Nile,John,John,581683
461358,Julián,Álvarez,Álvarez,576024
461382,John-Kymani,Gordon,Gordon,659331
461421,Lewis,Dobbin,Dobbin,627248
461446,Tyler,Onyango,Onyango,663225
461450,Max,Thompson,Thompson,598958
461453,Lewis,Warrington,Warrington,652979
461484,Joe,White,White,614811
461508,Lucas,De Bolle,De Bolle,626291
461529,Charlie,Savage,Savage,686837
461533,Ademipo,Odubeko,Odubeko,655880
461548,Zidane,Iqbal,Iqbal,686845
461558,Maxwell,Haygarth,Haygarth,596216
461566,William,Fish,Fish,640245
461567,Owen,Dodgson,Dodgson,686839
461585,Tawanda,Maswanhise,Maswanhise,670987
461587,Kasey,McAteer,McAteer,621193
462381,Filip,Marschall,Marschall,610863
462384,Jamal,Baptiste,Baptiste,610706
462424,William,Saliba,Saliba,495666
462491,Luke,Chambers,Chambers,670861
462635,Joe,Gelhardt,Gelhardt,503980
462831,Scott,Banks,Banks,596821
463034,Liam,Delap,Delap,610849
463748,Karl,Hein,Hein,493513
463912,Elia,Caprile,Caprile,421873
463981,James,Hill,Hill,611793
464618,Liam,McCarron,McCarron,614082
465299,Anthony,Mancini,Mancini,677311
465390,Kaine,Hayden,Hayden,626888
465527,Hannibal,Mejbri,Mejbri,607224
465551,Nigel,Lonwijk,Lonwijk,566043
465572,Reda,Khadra,Khadra,405686
466404,Andrew,Omobamidele,Omobamidele,621993
466955,Brandon,Pierrick,Pierrick,703470
467114,Oliver,Casey,Casey,559800
467311,Matthew,Pollock,Pollock,624948
468243,Kamil,Conteh,Conteh,733494
469142,Jan Paul,van Hecke,Van Hecke,576314
469249,Nohan,Kenneh,Kenneh,581677
470255,Caleb,Taylor,Taylor,671074
470294,Darko,Gyabi,Gyabi,663264
471471,Imrân,Louza,Louza,635336
471848,Femi,Seriki,Seriki,638649
472464,Shola,Shoretire,Shoretire,640026
472713,Aaron,Hickey,Hickey,591949
473342,Stuart,McKinstry,McKinstry,592474
474003,Leonardo,Campana,Campana,606872
474120,Julio,Enciso,Enciso,660867
474907,Reece,Welch,Welch,655986
475168,João Pedro,Junqueira de Jesus,João Pedro,626724
475492,Oliver,Hammond,Hammond,646214
476888,Sékou,Mara,Mara,557612
477064,Rico,Lewis,Lewis,701057
477386,Armel,Bella-Kotchap,Bella-Kotchap,467563
477547,Leo Fuhr,Hjelde,Hjelde,661208
478028,Kayky da Silva,Chagas,Kayky,668265
478449,Kyron,Gordon,Gordon,746734
478912,Carney,Chukwuemeka,Chukwuemeka,659459
479683,Marcus,Oliveira Alencar,Marquinhos,668268
480216,Mateusz,Bogusz,Bogusz,431475
480455,Jarrad,Branthwaite,Branthwaite,661053
480818,Billy,Koumetio,Koumetio,696324
481371,Zak,Brunt,Brunt,746777
481405,Mads,Bidstrup,Bidstrup,462832
481624,Jaden,Philogene-Bidace,Philogene-Bidace,665390
481626,Christian,Marques,Marques,539807
482442,Pape Matar,Sarr,Sarr,568693
483365,Jonathan,Rowe,Rowe,672381
